model_family,model_name,dataset,prompt,cf_yes_prob,cf_no_prob
Falcon,Falcon3-3B-Instruct,ARITH,instronly,0.19669884068774732,0.8033011593122527
Falcon,Falcon3-3B-Instruct,ARITH,fewshot,0.012877028315355381,0.9871229716846447
Falcon,Falcon3-10B-Base,EWOK,zeroshot,0.007435300367592326,0.9925646996324077
Falcon,Falcon3-10B-Base,EWOK,instronly,0.5480947944877863,0.4519052055122136
Falcon,Falcon3-10B-Base,EWOK,fewshot,0.295823968353205,0.704176031646795
Falcon,Falcon3-10B-Base,COMPS,zeroshot,0.007435300367592326,0.9925646996324077
Falcon,Falcon3-10B-Base,COMPS,instronly,0.5480947944877863,0.4519052055122136
Falcon,Falcon3-10B-Base,COMPS,fewshot,0.28067279774131043,0.7193272022586896
Falcon,Falcon3-10B-Base,BABI,zeroshot,0.007435300367592326,0.9925646996324077
Falcon,Falcon3-10B-Base,BABI,instronly,0.5480947944877863,0.4519052055122136
Falcon,Falcon3-10B-Base,BABI,fewshot,0.32679243385483403,0.673207566145166
Falcon,Falcon3-10B-Base,ARITH,zeroshot,0.007435300367592326,0.9925646996324077
Falcon,Falcon3-10B-Base,ARITH,instronly,0.5480947944877863,0.4519052055122136
Falcon,Falcon3-10B-Base,ARITH,fewshot,0.25916089316581914,0.7408391068341809
Falcon,Falcon3-10B-Instruct,EWOK,zeroshot,0.00873288052381534,0.9912671194761847
Falcon,Falcon3-10B-Instruct,EWOK,instronly,0.29836515233627897,0.7016348476637211
Falcon,Falcon3-10B-Instruct,EWOK,fewshot,0.09235578073944124,0.9076442192605588
Falcon,Falcon3-10B-Instruct,COMPS,zeroshot,0.00873288052381534,0.9912671194761847
Falcon,Falcon3-10B-Instruct,COMPS,instronly,0.29836515233627897,0.7016348476637211
Falcon,Falcon3-10B-Instruct,COMPS,fewshot,0.09891591665115108,0.9010840833488489
Falcon,Falcon3-10B-Instruct,BABI,zeroshot,0.00873288052381534,0.9912671194761847
Falcon,Falcon3-10B-Instruct,BABI,instronly,0.29836515233627897,0.7016348476637211
Falcon,Falcon3-10B-Instruct,BABI,fewshot,0.06047185611177504,0.9395281438882249
Falcon,Falcon3-10B-Instruct,ARITH,zeroshot,0.00873288052381534,0.9912671194761847
Falcon,Falcon3-10B-Instruct,ARITH,instronly,0.29836515233627897,0.7016348476637211
Falcon,Falcon3-10B-Instruct,ARITH,fewshot,0.12279692464760053,0.8772030753523995
Llama3,Llama-3.1-8B,EWOK,zeroshot,0.09329309751061027,0.9067069024893897
Llama3,Llama-3.1-8B,EWOK,instronly,0.7598618877101583,0.24013811228984178
Llama3,Llama-3.1-8B,EWOK,fewshot,0.3249115914069404,0.6750884085930595
Llama3,Llama-3.1-8B,COMPS,zeroshot,0.09329309751061027,0.9067069024893897
Llama3,Llama-3.1-8B,COMPS,instronly,0.7598618877101583,0.24013811228984178
Llama3,Llama-3.1-8B,COMPS,fewshot,0.34399504887632704,0.656004951123673
Llama3,Llama-3.1-8B,BABI,zeroshot,0.09329309751061027,0.9067069024893897
Llama3,Llama-3.1-8B,BABI,instronly,0.7598618877101583,0.24013811228984178
Llama3,Llama-3.1-8B,BABI,fewshot,0.3974303715645888,0.6025696284354113
Llama3,Llama-3.1-8B,ARITH,zeroshot,0.09329309751061027,0.9067069024893897
Llama3,Llama-3.1-8B,ARITH,instronly,0.7598618877101583,0.24013811228984178
Llama3,Llama-3.1-8B,ARITH,fewshot,0.34576052521880773,0.6542394747811923
Llama3,Llama-3.1-8B-Instruct,EWOK,zeroshot,0.31698200630095225,0.6830179936990478
Llama3,Llama-3.1-8B-Instruct,EWOK,instronly,0.7590552570388396,0.2409447429611604
Llama3,Llama-3.1-8B-Instruct,EWOK,fewshot,0.34024867303935413,0.6597513269606459
Llama3,Llama-3.1-8B-Instruct,COMPS,zeroshot,0.31698200630095225,0.6830179936990478
Llama3,Llama-3.1-8B-Instruct,COMPS,instronly,0.7590552570388396,0.2409447429611604
Llama3,Llama-3.1-8B-Instruct,COMPS,fewshot,0.4192321740731887,0.5807678259268114
Llama3,Llama-3.1-8B-Instruct,BABI,zeroshot,0.31698200630095225,0.6830179936990478
Llama3,Llama-3.1-8B-Instruct,BABI,instronly,0.7590552570388396,0.2409447429611604
Llama3,Llama-3.1-8B-Instruct,BABI,fewshot,0.3878455782570353,0.6121544217429647
Llama3,Llama-3.1-8B-Instruct,ARITH,zeroshot,0.31698200630095225,0.6830179936990478
Llama3,Llama-3.1-8B-Instruct,ARITH,instronly,0.7590552570388396,0.2409447429611604
Llama3,Llama-3.1-8B-Instruct,ARITH,fewshot,0.40281760804158867,0.5971823919584113
Llama3,Llama-3.1-70B,EWOK,zeroshot,0.2418065441905095,0.7581934558094905
Llama3,Llama-3.1-70B,EWOK,instronly,0.7594773136100371,0.24052268638996288
Llama3,Llama-3.1-70B,EWOK,fewshot,0.5571196109554479,0.44288038904455196
Llama3,Llama-3.1-70B,COMPS,zeroshot,0.2418065441905095,0.7581934558094905
Llama3,Llama-3.1-70B,COMPS,instronly,0.7594773136100371,0.24052268638996288
Llama3,Llama-3.1-70B,COMPS,fewshot,0.5104881635324905,0.48951183646750945
Llama3,Llama-3.1-70B,BABI,zeroshot,0.2418065441905095,0.7581934558094905
Llama3,Llama-3.1-70B,BABI,instronly,0.7594773136100371,0.24052268638996288
Llama3,Llama-3.1-70B,BABI,fewshot,0.6027692011893515,0.39723079881064843
Llama3,Llama-3.1-70B,ARITH,zeroshot,0.2418065441905095,0.7581934558094905
Llama3,Llama-3.1-70B,ARITH,instronly,0.7594773136100371,0.24052268638996288
Llama3,Llama-3.1-70B,ARITH,fewshot,0.567375429079718,0.4326245709202819
Llama3,Llama-3.1-70B-Instruct,EWOK,zeroshot,0.16862949706076796,0.8313705029392321
Llama3,Llama-3.1-70B-Instruct,EWOK,instronly,0.5827751581285138,0.4172248418714863
Llama3,Llama-3.1-70B-Instruct,EWOK,fewshot,0.4586350110652802,0.5413649889347197
Llama3,Llama-3.1-70B-Instruct,COMPS,zeroshot,0.16862949706076796,0.8313705029392321
Llama3,Llama-3.1-70B-Instruct,COMPS,instronly,0.5827751581285138,0.4172248418714863
Llama3,Llama-3.1-70B-Instruct,COMPS,fewshot,0.36801452895933934,0.6319854710406606
Llama3,Llama-3.1-70B-Instruct,BABI,zeroshot,0.16862949706076796,0.8313705029392321
Llama3,Llama-3.1-70B-Instruct,BABI,instronly,0.5827751581285138,0.4172248418714863
Llama3,Llama-3.1-70B-Instruct,BABI,fewshot,0.5675354221686213,0.4324645778313787
Llama3,Llama-3.1-70B-Instruct,ARITH,zeroshot,0.16862949706076796,0.8313705029392321
Llama3,Llama-3.1-70B-Instruct,ARITH,instronly,0.5827751581285138,0.4172248418714863
Llama3,Llama-3.1-70B-Instruct,ARITH,fewshot,0.37775272557658246,0.6222472744234175
Gemma3,gemma-3-12b-pt,EWOK,zeroshot,0.274454462188682,0.725545537811318
Gemma3,gemma-3-12b-pt,EWOK,instronly,0.7231991373980833,0.2768008626019167
Gemma3,gemma-3-12b-pt,EWOK,fewshot,0.418270701347015,0.581729298652985
Gemma3,gemma-3-12b-pt,COMPS,zeroshot,0.274454462188682,0.725545537811318
Gemma3,gemma-3-12b-pt,COMPS,instronly,0.7231991373980833,0.2768008626019167
Gemma3,gemma-3-12b-pt,COMPS,fewshot,0.43865529832601496,0.561344701673985
Gemma3,gemma-3-12b-pt,BABI,zeroshot,0.274454462188682,0.725545537811318
Gemma3,gemma-3-12b-pt,BABI,instronly,0.7231991373980833,0.2768008626019167
Gemma3,gemma-3-12b-pt,BABI,fewshot,0.4690308150636678,0.5309691849363323
Gemma3,gemma-3-12b-pt,ARITH,zeroshot,0.274454462188682,0.725545537811318
Gemma3,gemma-3-12b-pt,ARITH,instronly,0.7231991373980833,0.2768008626019167
Gemma3,gemma-3-12b-pt,ARITH,fewshot,0.46912656986609846,0.5308734301339015
Gemma3,gemma-3-12b-it,EWOK,zeroshot,0.16863495650810742,0.8313650434918926
Gemma3,gemma-3-12b-it,EWOK,instronly,0.6605792920229107,0.33942070797708945
Gemma3,gemma-3-12b-it,EWOK,fewshot,0.20884454742606215,0.7911554525739378
Gemma3,gemma-3-12b-it,COMPS,zeroshot,0.16863495650810742,0.8313650434918926
Gemma3,gemma-3-12b-it,COMPS,instronly,0.6605792920229107,0.33942070797708945
Gemma3,gemma-3-12b-it,COMPS,fewshot,0.06304432641701363,0.9369556735829863
Gemma3,gemma-3-12b-it,BABI,zeroshot,0.16863495650810742,0.8313650434918926
Gemma3,gemma-3-12b-it,BABI,instronly,0.6605792920229107,0.33942070797708945
Gemma3,gemma-3-12b-it,BABI,fewshot,0.1637225167397831,0.8362774832602169
Gemma3,gemma-3-12b-it,ARITH,zeroshot,0.16863495650810742,0.8313650434918926
Gemma3,gemma-3-12b-it,ARITH,instronly,0.6605792920229107,0.33942070797708945
Gemma3,gemma-3-12b-it,ARITH,fewshot,0.3581822331704209,0.6418177668295791
Gemma3,gemma-3-27b-pt,EWOK,zeroshot,0.3779291607860158,0.6220708392139842
Gemma3,gemma-3-27b-pt,EWOK,instronly,0.7057203659598141,0.29427963404018576
Gemma3,gemma-3-27b-pt,EWOK,fewshot,0.52090272224294,0.4790972777570601
Gemma3,gemma-3-27b-pt,COMPS,zeroshot,0.3779291607860158,0.6220708392139842
Gemma3,gemma-3-27b-pt,COMPS,instronly,0.7057203659598141,0.29427963404018576
Gemma3,gemma-3-27b-pt,COMPS,fewshot,0.49945738932929923,0.5005426106707008
Gemma3,gemma-3-27b-pt,BABI,zeroshot,0.3779291607860158,0.6220708392139842
Gemma3,gemma-3-27b-pt,BABI,instronly,0.7057203659598141,0.29427963404018576
Gemma3,gemma-3-27b-pt,BABI,fewshot,0.5215443702657905,0.4784556297342095
Gemma3,gemma-3-27b-pt,ARITH,zeroshot,0.3779291607860158,0.6220708392139842
Gemma3,gemma-3-27b-pt,ARITH,instronly,0.7057203659598141,0.29427963404018576
Gemma3,gemma-3-27b-pt,ARITH,fewshot,0.5623141662677876,0.4376858337322123
Gemma3,gemma-3-27b-it,EWOK,zeroshot,0.4190687450370289,0.5809312549629712
Gemma3,gemma-3-27b-it,EWOK,instronly,0.7690816802289974,0.23091831977100258
Gemma3,gemma-3-27b-it,EWOK,fewshot,0.3123803575592031,0.6876196424407968
Gemma3,gemma-3-27b-it,COMPS,zeroshot,0.4190687450370289,0.5809312549629712
Gemma3,gemma-3-27b-it,COMPS,instronly,0.7690816802289974,0.23091831977100258
Gemma3,gemma-3-27b-it,COMPS,fewshot,0.2689784237190743,0.7310215762809257
Gemma3,gemma-3-27b-it,BABI,zeroshot,0.4190687450370289,0.5809312549629712
Gemma3,gemma-3-27b-it,BABI,instronly,0.7690816802289974,0.23091831977100258
Gemma3,gemma-3-27b-it,BABI,fewshot,0.17667728862362966,0.8233227113763704
Gemma3,gemma-3-27b-it,ARITH,zeroshot,0.4190687450370289,0.5809312549629712
Gemma3,gemma-3-27b-it,ARITH,instronly,0.7690816802289974,0.23091831977100258
Gemma3,gemma-3-27b-it,ARITH,fewshot,0.2618616188916439,0.7381383811083562
