model_family,model_name,dataset,prompt,cf_yes_prob,cf_no_prob
GPT2,gpt2-medium,EWOK,zeroshot,0.07424523283745976,0.9257547671625402
GPT2,gpt2-medium,EWOK,instronly,0.7788714810886728,0.22112851891132723
GPT2,gpt2-medium,EWOK,fewshot,0.4690195806491864,0.5309804193508136
GPT2,gpt2-medium,COMPS,zeroshot,0.07424523283745976,0.9257547671625402
GPT2,gpt2-medium,COMPS,instronly,0.7788714810886728,0.22112851891132723
GPT2,gpt2-medium,COMPS,fewshot,0.48982623588836904,0.5101737641116311
GPT2,gpt2-medium,BABI,zeroshot,0.07424523283745976,0.9257547671625402
GPT2,gpt2-medium,BABI,instronly,0.7788714810886728,0.22112851891132723
GPT2,gpt2-medium,BABI,fewshot,0.4780771265993254,0.5219228734006746
GPT2,gpt2-medium,ARITH,zeroshot,0.07424523283745976,0.9257547671625402
GPT2,gpt2-medium,ARITH,instronly,0.7788714810886728,0.22112851891132723
GPT2,gpt2-medium,ARITH,fewshot,0.44420598804249006,0.55579401195751
GPT2,gpt2-large,EWOK,zeroshot,0.07424523283745976,0.9257547671625402
GPT2,gpt2-large,EWOK,instronly,0.7788714810886728,0.22112851891132723
GPT2,gpt2-large,EWOK,fewshot,0.4690195806491864,0.5309804193508136
GPT2,gpt2-large,COMPS,zeroshot,0.07424523283745976,0.9257547671625402
GPT2,gpt2-large,COMPS,instronly,0.7788714810886728,0.22112851891132723
GPT2,gpt2-large,COMPS,fewshot,0.48982623588836904,0.5101737641116311
GPT2,gpt2-large,BABI,zeroshot,0.07424523283745976,0.9257547671625402
GPT2,gpt2-large,BABI,instronly,0.7788714810886728,0.22112851891132723
GPT2,gpt2-large,BABI,fewshot,0.4780771265993254,0.5219228734006746
GPT2,gpt2-large,ARITH,zeroshot,0.07424523283745976,0.9257547671625402
GPT2,gpt2-large,ARITH,instronly,0.7788714810886728,0.22112851891132723
GPT2,gpt2-large,ARITH,fewshot,0.44420598804249006,0.55579401195751
Falcon,Falcon3-3B-Base,EWOK,zeroshot,0.07424523283745976,0.9257547671625402
Falcon,Falcon3-3B-Base,EWOK,instronly,0.7788714810886728,0.22112851891132723
Falcon,Falcon3-3B-Base,EWOK,fewshot,0.4690195806491864,0.5309804193508136
Falcon,Falcon3-3B-Base,COMPS,zeroshot,0.07424523283745976,0.9257547671625402
Falcon,Falcon3-3B-Base,COMPS,instronly,0.7788714810886728,0.22112851891132723
Falcon,Falcon3-3B-Base,COMPS,fewshot,0.48982623588836904,0.5101737641116311
Falcon,Falcon3-3B-Base,BABI,zeroshot,0.07424523283745976,0.9257547671625402
Falcon,Falcon3-3B-Base,BABI,instronly,0.7788714810886728,0.22112851891132723
Falcon,Falcon3-3B-Base,BABI,fewshot,0.4780771265993254,0.5219228734006746
Falcon,Falcon3-3B-Base,ARITH,zeroshot,0.07424523283745976,0.9257547671625402
Falcon,Falcon3-3B-Base,ARITH,instronly,0.7788714810886728,0.22112851891132723
Falcon,Falcon3-3B-Base,ARITH,fewshot,0.44420598804249006,0.55579401195751
Falcon,Falcon3-3B-Instruct,EWOK,zeroshot,0.061586473833200844,0.9384135261667992
Falcon,Falcon3-3B-Instruct,EWOK,instronly,0.19669884068774732,0.8033011593122527
Falcon,Falcon3-3B-Instruct,EWOK,fewshot,0.02210443838589735,0.9778955616141026
Falcon,Falcon3-3B-Instruct,COMPS,zeroshot,0.061586473833200844,0.9384135261667992
Falcon,Falcon3-3B-Instruct,COMPS,instronly,0.19669884068774732,0.8033011593122527
Falcon,Falcon3-3B-Instruct,COMPS,fewshot,0.012960544471820474,0.9870394555281795
Falcon,Falcon3-3B-Instruct,BABI,zeroshot,0.061586473833200844,0.9384135261667992
Falcon,Falcon3-3B-Instruct,BABI,instronly,0.19669884068774732,0.8033011593122527
Falcon,Falcon3-3B-Instruct,BABI,fewshot,0.03717218274118712,0.9628278172588128
Falcon,Falcon3-3B-Instruct,ARITH,zeroshot,0.061586473833200844,0.9384135261667992
