model_family,model_name,dataset,prompt,cf_oa_prob,cf_ob_prob,cf_oc_prob,cf_od_prob
GPT2,gpt2-medium,MMLU,zeroshot,0.6711813053789258,0.11535322384008673,0.12911176363926255,0.08435370714172497
GPT2,gpt2-medium,MMLU,instronly,0.5097036510158272,0.24174362128203666,0.1732926173233864,0.07526011037874983
GPT2,gpt2-medium,MMLU,fewshot,0.4543140662126882,0.2933645548693948,0.1933408048199109,0.058980574098006326
GPT2,gpt2-large,MMLU,zeroshot,0.6711813053789258,0.11535322384008673,0.12911176363926255,0.08435370714172497
GPT2,gpt2-large,MMLU,instronly,0.5097036510158272,0.24174362128203666,0.1732926173233864,0.07526011037874983
GPT2,gpt2-large,MMLU,fewshot,0.4543140662126882,0.2933645548693948,0.1933408048199109,0.058980574098006326
Llama3,Llama-3.1-8B,MMLU,zeroshot,0.6711813053789258,0.11535322384008673,0.12911176363926255,0.08435370714172497
Llama3,Llama-3.1-8B,MMLU,instronly,0.5097036510158272,0.24174362128203666,0.1732926173233864,0.07526011037874983
Llama3,Llama-3.1-8B,MMLU,fewshot,0.4543140662126882,0.2933645548693948,0.1933408048199109,0.058980574098006326
Llama3,Llama-3.1-8B-Instruct,MMLU,zeroshot,0.7979678187342618,0.076672073512885,0.06797749473120863,0.05738261302164463
Llama3,Llama-3.1-8B-Instruct,MMLU,instronly,0.7385347363572324,0.07543809893625003,0.1468159157992132,0.0392112489073043
Llama3,Llama-3.1-8B-Instruct,MMLU,fewshot,0.4230467943739354,0.337057038450789,0.1848439830152955,0.055052184159980096
Llama3,Llama-3.1-70B,MMLU,zeroshot,0.4888572821238569,0.16728292668918285,0.208953523698541,0.1349062674884193
Llama3,Llama-3.1-70B,MMLU,instronly,0.5163996191853363,0.24983874336774292,0.17911353961872747,0.054648097828193444
Llama3,Llama-3.1-70B,MMLU,fewshot,0.3568258240478276,0.18033269327627208,0.32314567788147214,0.13969580479442828
Llama3,Llama-3.1-70B-Instruct,MMLU,zeroshot,0.4226259140591685,0.22337458743735908,0.22882759686032006,0.12517190164315226
Llama3,Llama-3.1-70B-Instruct,MMLU,instronly,0.5997149400733136,0.20359305974206376,0.13964914863843533,0.05704285154618711
Llama3,Llama-3.1-70B-Instruct,MMLU,fewshot,0.2893456430064486,0.2603495806096477,0.36403362561495567,0.08627115076894812
Falcon,Falcon3-3B-Base,MMLU,zeroshot,0.5299683577416683,0.21332754193206435,0.14501140162962592,0.11169269869664131
Falcon,Falcon3-3B-Base,MMLU,instronly,0.596517143566037,0.16101575607099888,0.13853157078407943,0.10393552957888474
Falcon,Falcon3-3B-Base,MMLU,fewshot,0.36439270466906515,0.234767297930557,0.27518232247463664,0.12565767492574115
Falcon,Falcon3-3B-Instruct,MMLU,zeroshot,0.7762641925948576,0.10929849652165999,0.04941752773674536,0.06501978314673705
Falcon,Falcon3-3B-Instruct,MMLU,instronly,0.33870604542351584,0.2229636087318063,0.2826906390465087,0.15563970679816924
Falcon,Falcon3-3B-Instruct,MMLU,fewshot,0.26624307014368803,0.20040346921045843,0.13810987163816554,0.3952435890076879
Falcon,Falcon3-10B-Base,MMLU,zeroshot,0.5960793288156188,0.1693869783351536,0.1269122495507893,0.10762144329843838
Falcon,Falcon3-10B-Base,MMLU,instronly,0.45617438889538753,0.20799929704522305,0.20608987325279898,0.1297364408065904
Falcon,Falcon3-10B-Base,MMLU,fewshot,0.3841403053765839,0.21224971252455785,0.2727537369339859,0.13085624516487243
Falcon,Falcon3-10B-Instruct,MMLU,zeroshot,0.6736728301766929,0.15654820022407062,0.08579835342607298,0.0839806161731636
Falcon,Falcon3-10B-Instruct,MMLU,instronly,0.8509523166002806,0.03901734604310823,0.08627690033104955,0.02375343702556161
Falcon,Falcon3-10B-Instruct,MMLU,fewshot,0.3188108503123749,0.25486151337053914,0.39475687253394753,0.03157076378313837
Gemma3,gemma-3-12b-pt,MMLU,zeroshot,0.7099336911128512,0.08279306799101349,0.12054926180966974,0.08672397908646552
Gemma3,gemma-3-12b-pt,MMLU,instronly,0.7045689764507521,0.1437907381518472,0.11206483962041018,0.03957544577699034
Gemma3,gemma-3-12b-pt,MMLU,fewshot,0.3863090225242201,0.2668174679614759,0.30238436326991114,0.04448914624439298
Gemma3,gemma-3-12b-it,MMLU,zeroshot,0.8639888052256522,0.03908091817855568,0.059276650456046936,0.03765362613974519
Gemma3,gemma-3-12b-it,MMLU,instronly,0.6951520729474331,0.2054796688651008,0.07880871722122064,0.020559540966245533
Gemma3,gemma-3-12b-it,MMLU,fewshot,0.8218430249675113,0.05592463075356494,0.10894123219970815,0.013291112079215569
Gemma3,gemma-3-27b-pt,MMLU,zeroshot,0.6781872776113049,0.117650978640504,0.12796010944129443,0.07620163430689669
Gemma3,gemma-3-27b-pt,MMLU,instronly,0.5595828154435313,0.20653314090731542,0.1362408076465484,0.09764323600260491
Gemma3,gemma-3-27b-pt,MMLU,fewshot,0.34885701055676127,0.22041794219345037,0.30768202848437975,0.12304301876540866
Gemma3,gemma-3-27b-it,MMLU,zeroshot,0.6155783284889036,0.18358749799959392,0.10823176581028532,0.09260240770121722
Gemma3,gemma-3-27b-it,MMLU,instronly,0.9789941153848088,0.004169414350391453,0.015814874538948427,0.0010215957258513143
Gemma3,gemma-3-27b-it,MMLU,fewshot,0.5736106796083156,0.0775768971964911,0.29437115945116404,0.05444126374402927
