model_family,model_name,dataset,prompt,cf_o0_prob,cf_o1_prob,cf_o2_prob
GPT2,gpt2-medium,SNLI,instronly,0.6843588555737988,0.2319905791435979,0.08365056528260323
GPT2,gpt2-medium,SNLI,fewshot,0.09270632252984287,0.8772005852863567,0.030093092183800494
GPT2,gpt2-large,SNLI,instronly,0.6843588555737988,0.2319905791435979,0.08365056528260323
GPT2,gpt2-large,SNLI,fewshot,0.09270632252984287,0.8772005852863567,0.030093092183800494
GPT2,gpt2-medium,MNLI,instronly,0.6843588555737988,0.2319905791435979,0.08365056528260323
GPT2,gpt2-medium,MNLI,fewshot,0.09270632252984287,0.8772005852863567,0.030093092183800494
GPT2,gpt2-large,MNLI,instronly,0.6843588555737988,0.2319905791435979,0.08365056528260323
GPT2,gpt2-large,MNLI,fewshot,0.09270632252984287,0.8772005852863567,0.030093092183800494
Llama3,Llama-3.1-8B,SNLI,instronly,0.6843588555737988,0.2319905791435979,0.08365056528260323
Llama3,Llama-3.1-8B,SNLI,fewshot,0.09270632252984287,0.8772005852863567,0.030093092183800494
Llama3,Llama-3.1-8B-Instruct,SNLI,instronly,0.40657465466510156,0.4882135196156906,0.10521182571920783
Llama3,Llama-3.1-8B-Instruct,SNLI,fewshot,0.009265135390285962,0.9823437778511191,0.00839108675859495
Llama3,Llama-3.1-70B,SNLI,instronly,0.5326272168603572,0.2043303009095102,0.26304248223013255
Llama3,Llama-3.1-70B,SNLI,fewshot,0.23596933157256,0.6694364507000675,0.09459421772737252
Llama3,Llama-3.1-70B-Instruct,SNLI,instronly,0.49124395452968594,0.28060768740131187,0.22814835806900216
Llama3,Llama-3.1-70B-Instruct,SNLI,fewshot,0.08781653160797943,0.8813411363063288,0.030842332085691867
Falcon,Falcon3-3B-Base,SNLI,instronly,0.6334740513512566,0.26481618761284953,0.10170976103589394
Falcon,Falcon3-3B-Base,SNLI,fewshot,0.1931040282669282,0.6416601833939238,0.16523578833914793
Falcon,Falcon3-3B-Instruct,SNLI,instronly,0.7671145074772121,0.20155445665635005,0.03133103586643788
Falcon,Falcon3-3B-Instruct,SNLI,fewshot,0.30528862199045326,0.31568192361083214,0.37902945439871466
Falcon,Falcon3-10B-Base,SNLI,instronly,0.3114720027215023,0.493380687676004,0.19514730960249366
Falcon,Falcon3-10B-Base,SNLI,fewshot,0.12260986698375405,0.7843892191656298,0.09300091385061621
Falcon,Falcon3-10B-Instruct,SNLI,instronly,0.23744421933631446,0.7117153054869683,0.0508404751767173
Falcon,Falcon3-10B-Instruct,SNLI,fewshot,0.07766136942110627,0.9066834007712894,0.015655229807604434
Gemma3,gemma-3-12b-pt,SNLI,instronly,0.6133319623691968,0.2554792471389617,0.13118879049184137
Gemma3,gemma-3-12b-pt,SNLI,fewshot,0.4853855376041831,0.36292633105298683,0.15168813134283005
Gemma3,gemma-3-12b-it,SNLI,instronly,0.6554858198300326,0.33630071840806297,0.008213461761904366
Gemma3,gemma-3-12b-it,SNLI,fewshot,0.002190705870355231,0.9973955119914126,0.0004137821382321312
Gemma3,gemma-3-27b-pt,SNLI,instronly,0.512104244877051,0.2643396213350462,0.22355613378790287
Gemma3,gemma-3-27b-pt,SNLI,fewshot,0.06716142955923728,0.8849745190627168,0.04786405137804576
Gemma3,gemma-3-27b-it,SNLI,instronly,0.694380538265883,0.2440546425025971,0.061564819231519866
Gemma3,gemma-3-27b-it,SNLI,fewshot,0.0003091135763415429,0.9995322346819022,0.00015865174175610613
Llama3,Llama-3.1-8B,MNLI,instronly,0.6843588555737988,0.2319905791435979,0.08365056528260323
Llama3,Llama-3.1-8B,MNLI,fewshot,0.09270632252984287,0.8772005852863567,0.030093092183800494
Llama3,Llama-3.1-8B-Instruct,MNLI,instronly,0.40657465466510156,0.4882135196156906,0.10521182571920783
Llama3,Llama-3.1-8B-Instruct,MNLI,fewshot,0.009265135390285962,0.9823437778511191,0.00839108675859495
Llama3,Llama-3.1-70B,MNLI,instronly,0.5326272168603572,0.2043303009095102,0.26304248223013255
Llama3,Llama-3.1-70B,MNLI,fewshot,0.23596933157256,0.6694364507000675,0.09459421772737252
Llama3,Llama-3.1-70B-Instruct,MNLI,instronly,0.49124395452968594,0.28060768740131187,0.22814835806900216
Llama3,Llama-3.1-70B-Instruct,MNLI,fewshot,0.08781653160797943,0.8813411363063288,0.030842332085691867
Falcon,Falcon3-3B-Base,MNLI,instronly,0.6334740513512566,0.26481618761284953,0.10170976103589394
Falcon,Falcon3-3B-Base,MNLI,fewshot,0.1931040282669282,0.6416601833939238,0.16523578833914793
Falcon,Falcon3-3B-Instruct,MNLI,instronly,0.7671145074772121,0.20155445665635005,0.03133103586643788
Falcon,Falcon3-3B-Instruct,MNLI,fewshot,0.30528862199045326,0.31568192361083214,0.37902945439871466
Falcon,Falcon3-10B-Base,MNLI,instronly,0.3114720027215023,0.493380687676004,0.19514730960249366
Falcon,Falcon3-10B-Base,MNLI,fewshot,0.12260986698375405,0.7843892191656298,0.09300091385061621
Falcon,Falcon3-10B-Instruct,MNLI,instronly,0.23744421933631446,0.7117153054869683,0.0508404751767173
Falcon,Falcon3-10B-Instruct,MNLI,fewshot,0.07766136942110627,0.9066834007712894,0.015655229807604434
Gemma3,gemma-3-12b-pt,MNLI,instronly,0.6133319623691968,0.2554792471389617,0.13118879049184137
Gemma3,gemma-3-12b-pt,MNLI,fewshot,0.4853855376041831,0.36292633105298683,0.15168813134283005
Gemma3,gemma-3-12b-it,MNLI,instronly,0.6554858198300326,0.33630071840806297,0.008213461761904366
Gemma3,gemma-3-12b-it,MNLI,fewshot,0.002190705870355231,0.9973955119914126,0.0004137821382321312
Gemma3,gemma-3-27b-pt,MNLI,instronly,0.512104244877051,0.2643396213350462,0.22355613378790287
Gemma3,gemma-3-27b-pt,MNLI,fewshot,0.06716142955923728,0.8849745190627168,0.04786405137804576
Gemma3,gemma-3-27b-it,MNLI,instronly,0.694380538265883,0.2440546425025971,0.061564819231519866
Gemma3,gemma-3-27b-it,MNLI,fewshot,0.0003091135763415429,0.9995322346819022,0.00015865174175610613
