question_type,dataset,family,model,prompt,calib_size,transfer_type,target,source,median_acc,raw_acc,delta_acc,median_bias,raw_bias,delta_bias,median_rstd,raw_rstd,delta_rstd
yesno,EWOK,Falcon,Falcon3-10B-Base,zeroshot,400,baseline,EWOK,EWOK,0.6671348314606742,0.6371722846441947,0.029962546816479474,0.05149812734082397,0.3904494382022472,-0.3389513108614232,,,
yesno,EWOK,Falcon,Falcon3-10B-Base,zeroshot,500,baseline,EWOK,EWOK,0.6679943047269712,0.6371722846441947,0.030822020082776458,0.05337078651685393,0.3904494382022472,-0.33707865168539325,,,
yesno,EWOK,Falcon,Falcon3-10B-Instruct,zeroshot,10,baseline,EWOK,EWOK,0.6940543071161048,0.6839887640449438,0.010065543071161032,0.2045880149812734,0.36235955056179775,-0.15777153558052434,,,
yesno,EWOK,Falcon,Falcon3-10B-Instruct,zeroshot,20,baseline,EWOK,EWOK,0.7059925093632958,0.6839887640449438,0.02200374531835203,0.10814606741573034,0.36235955056179775,-0.2542134831460674,,,
yesno,EWOK,Falcon,Falcon3-10B-Instruct,zeroshot,50,baseline,EWOK,EWOK,0.7055243445692884,0.6839887640449438,0.021535580524344566,0.08587222702391242,0.36235955056179775,-0.2764873235378853,,,
yesno,EWOK,Falcon,Falcon3-10B-Instruct,zeroshot,100,baseline,EWOK,EWOK,0.7130149812734082,0.6839887640449438,0.029026217228464435,0.08099250936329588,0.36235955056179775,-0.28136704119850187,,,
yesno,EWOK,Falcon,Falcon3-10B-Instruct,zeroshot,200,baseline,EWOK,EWOK,0.7153558052434457,0.6839887640449438,0.031367041198501866,0.07865168539325842,0.36235955056179775,-0.2837078651685393,,,
yesno,EWOK,Falcon,Falcon3-10B-Instruct,zeroshot,300,baseline,EWOK,EWOK,0.7153558052434457,0.6839887640449438,0.031367041198501866,0.08052434456928839,0.36235955056179775,-0.28183520599250933,,,
yesno,EWOK,Falcon,Falcon3-10B-Instruct,zeroshot,400,baseline,EWOK,EWOK,0.7158239700374532,0.6839887640449438,0.03183520599250944,0.08801498127340825,0.36235955056179775,-0.2743445692883895,,,
yesno,EWOK,Falcon,Falcon3-10B-Instruct,zeroshot,500,baseline,EWOK,EWOK,0.7167602996254682,0.6839887640449438,0.03277153558052437,0.08614232209737828,0.36235955056179775,-0.2762172284644195,,,
