Question_Type,Dataset,Model_Family,Target_Model,Source_Model,Transfer_Type,Prompt,Batch_Size,median_acc,q25_acc,q75_acc,bias_median,acc_mean,best_acc,worst_acc
YN,ARITH,Gemma3,gemma-3-12b-it,gemma-3-12b-it,Same,zeroshot,500,0.8825,0.8808333333333334,0.8841666666666667,0.01416666666666666,0.8808338440039454,0.886744966442953,0.8534798534798534
YN,ARITH,Gemma3,gemma-3-27b-pt,gemma-3-27b-it,Cross,zeroshot,500,0.7833333333333333,0.6766666666666666,0.8666666666666667,0.215,0.7672333333333334,0.9233333333333333,0.5333333333333333
YN,ARITH,Gemma3,gemma-3-27b-pt,gemma-3-12b-pt,Cross,zeroshot,500,0.8666666666666667,0.8666666666666667,0.89,0.13,0.8777666666666666,0.89,0.8666666666666667
YN,ARITH,Gemma3,gemma-3-27b-pt,gemma-3-12b-it,Cross,zeroshot,500,0.5,0.5,0.5,0.5,0.5,0.5,0.5
YN,ARITH,Gemma3,gemma-3-27b-it,gemma-3-27b-pt,Cross,zeroshot,500,0.9908333333333333,0.99,0.9908333333333333,0.0024999999999999745,0.9905583333333331,0.9916666666666667,0.99
YN,ARITH,Gemma3,gemma-3-27b-it,gemma-3-12b-pt,Cross,zeroshot,500,0.9883333333333333,0.9883333333333333,0.9883333333333333,0.0050000000000000044,0.9883333333333332,0.9883333333333333,0.9883333333333333
YN,ARITH,Gemma3,gemma-3-27b-it,gemma-3-12b-it,Cross,zeroshot,500,0.9683333333333334,0.9675,0.9691666666666666,0.03166666666666665,0.967525,0.9716666666666667,0.9608333333333333
YN,ARITH,Gemma3,gemma-3-12b-pt,gemma-3-27b-pt,Cross,zeroshot,500,0.7025,0.7025,0.73,0.2958333333333333,0.7124583333333334,0.7658333333333334,0.6666666666666666
YN,ARITH,Gemma3,gemma-3-12b-pt,gemma-3-27b-it,Cross,zeroshot,500,0.7962499999999999,0.77,0.8383333333333334,0.17916666666666667,0.7943083333333334,0.8541666666666666,0.6091666666666666
YN,ARITH,Gemma3,gemma-3-12b-pt,gemma-3-12b-it,Cross,zeroshot,500,0.5,0.5,0.5,0.5,0.5,0.5,0.5
YN,ARITH,Gemma3,gemma-3-12b-it,gemma-3-27b-pt,Cross,zeroshot,500,0.7816666666666666,0.7816666666666666,0.7891666666666667,0.21166666666666667,0.7850916666666666,0.7991666666666667,0.7791666666666667
YN,ARITH,Gemma3,gemma-3-12b-it,gemma-3-27b-it,Cross,zeroshot,500,0.8358333333333333,0.8266666666666667,0.845,0.13916666666666666,0.8362999999999999,0.8641666666666666,0.7991666666666667
YN,ARITH,Gemma3,gemma-3-12b-it,gemma-3-12b-pt,Cross,zeroshot,500,0.8266666666666667,0.8266666666666667,0.8266666666666667,0.15333333333333332,0.826658333333333,0.8266666666666667,0.8258333333333333
YN,ARITH,Llama3,Llama-3.1-8B,Llama-3.1-8B,Same,zeroshot,500,0.7808333333333334,0.7780851196930519,0.7833333333333333,0.07250000000000001,0.7803519148971761,0.7875,0.7582417582417582
YN,ARITH,Llama3,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,Same,zeroshot,500,0.8283333333333334,0.8260416666666667,0.83,0.035,0.8263142639903439,0.835,0.7961630695443646
YN,ARITH,Llama3,Llama-3.1-70B,Llama-3.1-70B,Same,zeroshot,500,0.9347015142945441,0.9333333333333333,0.9358333333333333,0.030000000000000027,0.9339973044393046,0.9391666666666667,0.9157509157509157
YN,ARITH,Llama3,Llama-3.1-70B-Instruct,Llama-3.1-70B-Instruct,Same,zeroshot,500,0.9666666666666667,0.965,0.9681854838709678,0.0050000000000000044,0.9660765503207439,0.9708333333333333,0.9515669515669516
YN,ARITH,Llama3,Llama-3.1-8B,Llama-3.1-8B-Instruct,Cross,zeroshot,500,0.8025,0.8008333333333333,0.8025,0.14916666666666667,0.8017999999999997,0.8066666666666666,0.785
YN,ARITH,Llama3,Llama-3.1-8B,Llama-3.1-70B,Cross,zeroshot,500,0.7308333333333333,0.7308333333333333,0.7427083333333333,0.12916666666666665,0.7334916666666668,0.745,0.7191666666666666
YN,ARITH,Llama3,Llama-3.1-8B,Llama-3.1-70B-Instruct,Cross,zeroshot,500,0.7,0.6666666666666666,0.7158333333333333,0.29833333333333334,0.6921250000000002,0.7725,0.5966666666666667
YN,ARITH,Llama3,Llama-3.1-8B-Instruct,Llama-3.1-8B,Cross,zeroshot,500,0.8229166666666667,0.8108333333333333,0.8233333333333334,0.07250000000000001,0.8183166666666668,0.8283333333333334,0.8108333333333333
YN,ARITH,Llama3,Llama-3.1-8B-Instruct,Llama-3.1-70B,Cross,zeroshot,500,0.7425,0.7425,0.755,0.21916666666666665,0.7455416666666669,0.765,0.7266666666666667
YN,ARITH,Llama3,Llama-3.1-8B-Instruct,Llama-3.1-70B-Instruct,Cross,zeroshot,500,0.79,0.739375,0.81,0.18333333333333335,0.7759416666666666,0.8466666666666667,0.6325
YN,ARITH,Llama3,Llama-3.1-70B,Llama-3.1-8B,Cross,zeroshot,500,0.9008333333333334,0.895,0.9041666666666667,0.09583333333333333,0.89975,0.9041666666666667,0.8925
YN,ARITH,Llama3,Llama-3.1-70B,Llama-3.1-8B-Instruct,Cross,zeroshot,500,0.8508333333333333,0.8483333333333334,0.8733333333333333,0.14749999999999996,0.8598083333333332,0.895,0.8458333333333333
YN,ARITH,Llama3,Llama-3.1-70B,Llama-3.1-70B-Instruct,Cross,zeroshot,500,0.5975,0.5525,0.6377083333333333,0.40249999999999997,0.596975,0.77,0.5116666666666667
YN,ARITH,Llama3,Llama-3.1-70B-Instruct,Llama-3.1-8B,Cross,zeroshot,500,0.9275,0.9233333333333333,0.93,0.0625,0.927225,0.9391666666666667,0.9225
YN,ARITH,Llama3,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,Cross,zeroshot,500,0.9425,0.9408333333333333,0.9425,0.04249999999999998,0.9418333333333334,0.9458333333333333,0.93
YN,ARITH,Llama3,Llama-3.1-70B-Instruct,Llama-3.1-70B,Cross,zeroshot,500,0.8866666666666667,0.8858333333333334,0.8958333333333334,0.10833333333333331,0.8891250000000003,0.9,0.8791666666666667
YN,ARITH,Falcon,Falcon3-3B-Base,Falcon3-3B-Base,Same,instronly,500,0.8407004730105732,0.8383734309623432,0.8425,0.010000000000000009,0.839357459170877,0.8466666666666667,0.8148148148148148
YN,ARITH,Falcon,Falcon3-3B-Instruct,Falcon3-3B-Instruct,Same,instronly,500,0.8225,0.8198897058823529,0.82457255147468,0.018333333333333313,0.8206771724512386,0.8268581081081081,0.7838827838827839
YN,ARITH,Falcon,Falcon3-10B-Base,Falcon3-10B-Base,Same,instronly,500,0.8873774509803921,0.8850889121338912,0.8891666666666667,0.004583333333333328,0.8870567229236465,0.8932146829810901,0.8807017543859649
YN,ARITH,Falcon,Falcon3-10B-Instruct,Falcon3-10B-Instruct,Same,instronly,500,0.8995833333333334,0.8975,0.9014692982456141,0.015000000000000013,0.8994780417471595,0.9080824088748018,0.8872901678657075
YN,ARITH,Falcon,Falcon3-3B-Base,Falcon3-3B-Instruct,Cross,instronly,500,0.7554166666666666,0.6797916666666667,0.7929166666666666,0.24458333333333332,0.7269583333333333,0.8575,0.5
YN,ARITH,Falcon,Falcon3-3B-Base,Falcon3-10B-Base,Cross,instronly,500,0.6441666666666667,0.6039583333333334,0.7,0.35583333333333333,0.6496999999999999,0.7683333333333333,0.5166666666666667
YN,ARITH,Falcon,Falcon3-3B-Base,Falcon3-10B-Instruct,Cross,instronly,500,0.51,0.5,0.681875,0.49,0.5893833333333334,0.8575,0.5
YN,ARITH,Falcon,Falcon3-3B-Instruct,Falcon3-3B-Base,Cross,instronly,500,0.8008333333333333,0.8,0.8016666666666666,0.0675,0.8009333333333332,0.8025,0.8
YN,ARITH,Falcon,Falcon3-3B-Instruct,Falcon3-10B-Base,Cross,instronly,500,0.8258333333333333,0.823125,0.8266666666666667,0.009166666666666656,0.8246583333333334,0.8283333333333334,0.8208333333333333
YN,ARITH,Falcon,Falcon3-3B-Instruct,Falcon3-10B-Instruct,Cross,instronly,500,0.8275,0.8233333333333334,0.8325,0.020833333333333343,0.8276583333333334,0.8391666666666666,0.8
YN,ARITH,Falcon,Falcon3-10B-Base,Falcon3-3B-Base,Cross,instronly,500,0.8216666666666667,0.8166666666666667,0.8241666666666667,0.14833333333333332,0.8207833333333334,0.8316666666666667,0.8116666666666666
YN,ARITH,Falcon,Falcon3-10B-Base,Falcon3-3B-Instruct,Cross,instronly,500,0.8825,0.8777083333333333,0.8858333333333334,0.029166666666666674,0.8812416666666664,0.8991666666666667,0.8308333333333333
YN,ARITH,Falcon,Falcon3-10B-Base,Falcon3-10B-Instruct,Cross,instronly,500,0.8866666666666667,0.868125,0.8941666666666667,0.07499999999999998,0.8717916666666667,0.8975,0.5458333333333333
YN,ARITH,Falcon,Falcon3-10B-Instruct,Falcon3-3B-Base,Cross,instronly,500,0.895,0.895,0.895,0.015000000000000013,0.8949999999999996,0.895,0.895
YN,ARITH,Falcon,Falcon3-10B-Instruct,Falcon3-3B-Instruct,Cross,instronly,500,0.8975,0.8958333333333334,0.8983333333333333,0.004166666666666652,0.8974749999999999,0.9033333333333333,0.895
YN,ARITH,Falcon,Falcon3-10B-Instruct,Falcon3-10B-Base,Cross,instronly,500,0.8983333333333333,0.8983333333333333,0.8983333333333333,0.0050000000000000044,0.8981166666666666,0.8991666666666667,0.8966666666666666
YN,ARITH,Gemma3,gemma-3-27b-pt,gemma-3-27b-pt,Same,instronly,500,0.9254041589835089,0.9235745883101982,0.9266666666666666,0.003333333333333327,0.9241722430757796,0.9333333333333333,0.8974358974358975
YN,ARITH,Gemma3,gemma-3-27b-it,gemma-3-27b-it,Same,instronly,500,0.9640917015341701,0.9625,0.9658190734557596,0.002516891891891873,0.9637590294761982,0.9683333333333334,0.9557399723374828
YN,ARITH,Gemma3,gemma-3-12b-pt,gemma-3-12b-pt,Same,instronly,500,0.8969977740678909,0.8934234234234234,0.900625,0.0050000000000000044,0.895155035812173,0.9058333333333334,0.8561151079136691
YN,ARITH,Gemma3,gemma-3-12b-it,gemma-3-12b-it,Same,instronly,500,0.8533333333333334,0.8516666666666667,0.8551725941422594,0.005014633873750521,0.8532577191833958,0.8616666666666667,0.8376068376068376
YN,ARITH,Gemma3,gemma-3-27b-pt,gemma-3-27b-it,Cross,instronly,500,0.5,0.5,0.5,0.5,0.5018666666666667,0.6641666666666667,0.5
YN,ARITH,Gemma3,gemma-3-27b-pt,gemma-3-12b-pt,Cross,instronly,500,0.9291666666666667,0.9208333333333333,0.9291666666666667,0.008333333333333345,0.9247249999999997,0.9308333333333333,0.9016666666666666
YN,ARITH,Gemma3,gemma-3-27b-pt,gemma-3-12b-it,Cross,instronly,500,0.5183333333333333,0.5,0.7375,0.4816666666666667,0.6038583333333334,0.9208333333333333,0.5
YN,ARITH,Gemma3,gemma-3-27b-it,gemma-3-27b-pt,Cross,instronly,500,0.96,0.96,0.96,0.025000000000000022,0.9600083333333334,0.9608333333333333,0.96
YN,ARITH,Gemma3,gemma-3-27b-it,gemma-3-12b-pt,Cross,instronly,500,0.96,0.96,0.96,0.025000000000000022,0.9599916666666667,0.9608333333333333,0.9591666666666666
YN,ARITH,Gemma3,gemma-3-27b-it,gemma-3-12b-it,Cross,instronly,500,0.9633333333333334,0.9625,0.9633333333333334,0.015000000000000013,0.9629583333333335,0.9641666666666666,0.9608333333333333
YN,ARITH,Gemma3,gemma-3-12b-pt,gemma-3-27b-pt,Cross,instronly,500,0.9041666666666667,0.8941666666666667,0.9041666666666667,0.009166666666666656,0.9008250000000001,0.9133333333333333,0.885
YN,ARITH,Gemma3,gemma-3-12b-pt,gemma-3-27b-it,Cross,instronly,500,0.5,0.5,0.5,0.5,0.5004166666666666,0.5416666666666666,0.5
YN,ARITH,Gemma3,gemma-3-12b-pt,gemma-3-12b-it,Cross,instronly,500,0.5,0.5,0.5733333333333334,0.5,0.5640333333333334,0.9125,0.5
YN,ARITH,Gemma3,gemma-3-12b-it,gemma-3-27b-pt,Cross,instronly,500,0.8475,0.8466666666666667,0.8475,0.04916666666666669,0.8472083333333333,0.8491666666666666,0.8466666666666667
YN,ARITH,Gemma3,gemma-3-12b-it,gemma-3-27b-it,Cross,instronly,500,0.83,0.7185416666666666,0.8591666666666666,0.15333333333333332,0.7700916666666666,0.8658333333333333,0.5
YN,ARITH,Gemma3,gemma-3-12b-it,gemma-3-12b-pt,Cross,instronly,500,0.8475,0.8466666666666667,0.8475,0.04916666666666669,0.8470999999999997,0.8491666666666666,0.845
YN,ARITH,Llama3,Llama-3.1-8B,Llama-3.1-8B,Same,instronly,500,0.8014205816554809,0.7991478898426323,0.8033333333333333,0.0037499999999999895,0.8013754911139116,0.8131868131868132,0.7933130699088146
YN,ARITH,Llama3,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,Same,instronly,500,0.8075,0.8041666666666667,0.81,0.005416666666666681,0.8058859277482918,0.816722972972973,0.7765567765567766
YN,ARITH,Llama3,Llama-3.1-70B,Llama-3.1-70B,Same,instronly,500,0.9416666666666667,0.9391666666666667,0.9433333333333334,0.00392156862745098,0.9405605872592919,0.9468468468468468,0.9194139194139194
YN,ARITH,Llama3,Llama-3.1-70B-Instruct,Llama-3.1-70B-Instruct,Same,instronly,500,0.9799328859060403,0.9783333333333334,0.9808333333333333,0.0024999999999999745,0.9795564934788302,0.9866518353726362,0.9743589743589743
YN,ARITH,Llama3,Llama-3.1-8B,Llama-3.1-8B-Instruct,Cross,instronly,500,0.725,0.725,0.73,0.245,0.7274666666666664,0.7333333333333333,0.7175
YN,ARITH,Llama3,Llama-3.1-8B,Llama-3.1-70B,Cross,instronly,500,0.7483333333333333,0.7466666666666667,0.7575,0.1825,0.7518333333333334,0.8033333333333333,0.7258333333333333
YN,ARITH,Llama3,Llama-3.1-8B,Llama-3.1-70B-Instruct,Cross,instronly,500,0.7483333333333333,0.7333333333333333,0.7733333333333333,0.1433333333333333,0.7534083333333333,0.8041666666666667,0.675
YN,ARITH,Llama3,Llama-3.1-8B-Instruct,Llama-3.1-8B,Cross,instronly,500,0.7358333333333333,0.7358333333333333,0.7358333333333333,0.1775,0.7371416666666667,0.7483333333333333,0.725
YN,ARITH,Llama3,Llama-3.1-8B-Instruct,Llama-3.1-70B,Cross,instronly,500,0.6779166666666667,0.6758333333333333,0.6883333333333334,0.28208333333333335,0.6822083333333332,0.7141666666666666,0.6666666666666666
YN,ARITH,Llama3,Llama-3.1-8B-Instruct,Llama-3.1-70B-Instruct,Cross,instronly,500,0.775,0.7591666666666667,0.7933333333333333,0.10166666666666668,0.7746166666666667,0.8108333333333333,0.6883333333333334
YN,ARITH,Llama3,Llama-3.1-70B,Llama-3.1-8B,Cross,instronly,500,0.9316666666666666,0.9316666666666666,0.9316666666666666,0.05833333333333335,0.9312166666666668,0.94,0.9258333333333333
YN,ARITH,Llama3,Llama-3.1-70B,Llama-3.1-8B-Instruct,Cross,instronly,500,0.8775,0.8775,0.8841666666666667,0.12083333333333335,0.8810666666666667,0.8941666666666667,0.8725
YN,ARITH,Llama3,Llama-3.1-70B,Llama-3.1-70B-Instruct,Cross,instronly,500,0.9066666666666666,0.8941666666666667,0.9208333333333333,0.09,0.9058916666666668,0.9483333333333334,0.845
YN,ARITH,Llama3,Llama-3.1-70B-Instruct,Llama-3.1-8B,Cross,instronly,500,0.9816666666666667,0.9816666666666667,0.9816666666666667,0.008333333333333331,0.9814916666666669,0.9825,0.98
YN,ARITH,Llama3,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,Cross,instronly,500,0.9766666666666667,0.9766666666666667,0.98,0.006666666666666682,0.9779583333333335,0.98,0.9741666666666666
YN,ARITH,Llama3,Llama-3.1-70B-Instruct,Llama-3.1-70B,Cross,instronly,500,0.975,0.975,0.9775,0.020000000000000018,0.9760583333333333,0.9791666666666666,0.9716666666666667
YN,ARITH,Falcon,Falcon3-3B-Base,Falcon3-3B-Base,Same,fewshot,500,0.8549774774774774,0.8533333333333334,0.8558333333333333,0.0050000000000000044,0.8536521114517188,0.8620689655172413,0.8351648351648352
YN,ARITH,Falcon,Falcon3-3B-Instruct,Falcon3-3B-Instruct,Same,fewshot,500,0.8733333333333333,0.8708333333333333,0.8741666666666666,0.004166666666666652,0.8718753358052076,0.88,0.8498168498168498
YN,ARITH,Falcon,Falcon3-10B-Base,Falcon3-10B-Base,Same,fewshot,500,0.8991666666666667,0.8965350877192982,0.9008333333333334,0.003333333333333327,0.8979458462466239,0.9076751946607341,0.8717948717948718
YN,ARITH,Falcon,Falcon3-10B-Instruct,Falcon3-10B-Instruct,Same,fewshot,500,0.9271961938801806,0.9254720771394134,0.9291385135135135,0.003333333333333327,0.9266718756418152,0.9365962180200222,0.9116809116809117
YN,ARITH,Falcon,Falcon3-3B-Base,Falcon3-3B-Instruct,Cross,fewshot,500,0.5916666666666667,0.5864583333333333,0.596875,0.4083333333333333,0.5918000000000001,0.6333333333333333,0.55
YN,ARITH,Falcon,Falcon3-3B-Base,Falcon3-10B-Base,Cross,fewshot,500,0.8475,0.84,0.8575,0.14583333333333334,0.8464499999999999,0.8683333333333333,0.8066666666666666
YN,ARITH,Falcon,Falcon3-3B-Base,Falcon3-10B-Instruct,Cross,fewshot,500,0.6458333333333334,0.6341666666666667,0.65375,0.3458333333333333,0.6462083333333333,0.7008333333333333,0.6166666666666667
YN,ARITH,Falcon,Falcon3-3B-Instruct,Falcon3-3B-Base,Cross,fewshot,500,0.8733333333333333,0.8725,0.8741666666666666,0.08166666666666667,0.8730333333333334,0.875,0.8691666666666666
YN,ARITH,Falcon,Falcon3-3B-Instruct,Falcon3-10B-Base,Cross,fewshot,500,0.8758333333333334,0.8725,0.8758333333333334,0.09416666666666665,0.8744416666666666,0.8766666666666667,0.8708333333333333
YN,ARITH,Falcon,Falcon3-3B-Instruct,Falcon3-10B-Instruct,Cross,fewshot,500,0.8741666666666666,0.8725,0.8752083333333334,0.04083333333333336,0.8741083333333335,0.8766666666666667,0.8708333333333333
YN,ARITH,Falcon,Falcon3-10B-Base,Falcon3-3B-Base,Cross,fewshot,500,0.8583333333333333,0.8564583333333333,0.8591666666666666,0.10250000000000001,0.8572333333333336,0.8616666666666667,0.8475
YN,ARITH,Falcon,Falcon3-10B-Base,Falcon3-3B-Instruct,Cross,fewshot,500,0.6325,0.62,0.64,0.36750000000000005,0.6306833333333334,0.6991666666666667,0.555
YN,ARITH,Falcon,Falcon3-10B-Base,Falcon3-10B-Instruct,Cross,fewshot,500,0.72125,0.6991666666666667,0.7314583333333333,0.27375,0.7170583333333331,0.7558333333333334,0.675
YN,ARITH,Falcon,Falcon3-10B-Instruct,Falcon3-3B-Base,Cross,fewshot,500,0.9241666666666667,0.9241666666666667,0.9241666666666667,0.04916666666666669,0.9240916666666665,0.9266666666666666,0.9225
YN,ARITH,Falcon,Falcon3-10B-Instruct,Falcon3-3B-Instruct,Cross,fewshot,500,0.9041666666666667,0.895,0.9108333333333334,0.0625,0.9020583333333332,0.9266666666666666,0.8691666666666666
YN,ARITH,Falcon,Falcon3-10B-Instruct,Falcon3-10B-Base,Cross,fewshot,500,0.9141666666666667,0.9125,0.915,0.0625,0.9136416666666668,0.9183333333333333,0.9083333333333333
YN,ARITH,Gemma3,gemma-3-27b-pt,gemma-3-27b-pt,Same,fewshot,500,0.9975,0.9966666666666667,0.9983333333333333,0.0008333333333333526,0.997587914682189,0.9991666666666666,0.9943502824858758
YN,ARITH,Gemma3,gemma-3-27b-it,gemma-3-27b-it,Same,fewshot,500,0.9958333333333333,0.995,0.9963556777116099,0.0009249956548095933,0.9956127203996532,1.0,0.9933333333333333
YN,ARITH,Gemma3,gemma-3-12b-pt,gemma-3-12b-pt,Same,fewshot,500,0.9275,0.9252677161468614,0.9289583333333333,0.0033445190156599636,0.9255370853627115,0.9333333333333333,0.8937728937728938
YN,ARITH,Gemma3,gemma-3-12b-it,gemma-3-12b-it,Same,fewshot,500,0.9473903874879184,0.945,0.9491666666666667,0.003333333333333327,0.9464035445083254,0.9525,0.9267399267399268
YN,ARITH,Gemma3,gemma-3-27b-pt,gemma-3-27b-it,Cross,fewshot,500,0.8175,0.5666666666666667,0.98625,0.1825,0.7748916666666668,0.9991666666666666,0.5
YN,ARITH,Gemma3,gemma-3-27b-pt,gemma-3-12b-pt,Cross,fewshot,500,0.995,0.995,0.9958333333333333,0.0050000000000000044,0.9946583333333335,0.9958333333333333,0.9766666666666667
YN,ARITH,Gemma3,gemma-3-27b-pt,gemma-3-12b-it,Cross,fewshot,500,0.8525,0.805,0.8825000000000001,0.1475,0.8282916666666666,0.9958333333333333,0.5025
YN,ARITH,Gemma3,gemma-3-27b-it,gemma-3-27b-pt,Cross,fewshot,500,0.9966666666666667,0.9966666666666667,0.9966666666666667,0.0016666666666666774,0.9966666666666667,0.9966666666666667,0.9966666666666667
YN,ARITH,Gemma3,gemma-3-27b-it,gemma-3-12b-pt,Cross,fewshot,500,0.9966666666666667,0.9958333333333333,0.9966666666666667,0.0016666666666666774,0.9962916666666669,0.9966666666666667,0.9941666666666666
YN,ARITH,Gemma3,gemma-3-27b-it,gemma-3-12b-it,Cross,fewshot,500,0.99,0.99,0.9908333333333333,0.008333333333333331,0.9908749999999997,0.9966666666666667,0.99
YN,ARITH,Gemma3,gemma-3-12b-pt,gemma-3-27b-pt,Cross,fewshot,500,0.8941666666666667,0.8883333333333333,0.9041666666666667,0.08416666666666664,0.8931416666666666,0.9241666666666667,0.8325
YN,ARITH,Gemma3,gemma-3-12b-pt,gemma-3-27b-it,Cross,fewshot,500,0.6141666666666666,0.5116666666666667,0.8183333333333334,0.38583333333333336,0.6737500000000002,0.9358333333333333,0.5
YN,ARITH,Gemma3,gemma-3-12b-pt,gemma-3-12b-it,Cross,fewshot,500,0.8791666666666667,0.8433333333333334,0.9054166666666666,0.11750000000000002,0.8609916666666666,0.9308333333333333,0.6133333333333333
YN,ARITH,Gemma3,gemma-3-12b-it,gemma-3-27b-pt,Cross,fewshot,500,0.935,0.935,0.935,0.02833333333333332,0.934891666666667,0.9358333333333333,0.9325
YN,ARITH,Gemma3,gemma-3-12b-it,gemma-3-27b-it,Cross,fewshot,500,0.9208333333333333,0.9,0.9314583333333333,0.06083333333333332,0.9154750000000001,0.9466666666666667,0.8041666666666667
YN,ARITH,Gemma3,gemma-3-12b-it,gemma-3-12b-pt,Cross,fewshot,500,0.9358333333333333,0.9358333333333333,0.9383333333333334,0.019166666666666665,0.9367416666666667,0.9383333333333334,0.9358333333333333
YN,ARITH,Llama3,Llama-3.1-8B,Llama-3.1-8B,Same,fewshot,500,0.8683105369807498,0.865,0.87,0.003333333333333327,0.8674444696912325,0.8766666666666667,0.8433048433048433
YN,ARITH,Llama3,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,Same,fewshot,500,0.8475542269187987,0.845,0.8504802596714361,0.0041806487695749545,0.845686156754553,0.855,0.8033573141486811
YN,ARITH,Llama3,Llama-3.1-70B,Llama-3.1-70B,Same,fewshot,500,0.9804033633820868,0.9791666666666666,0.9816666666666667,0.0016666666666666774,0.9804653543756784,0.9841666666666666,0.975
YN,ARITH,Llama3,Llama-3.1-70B-Instruct,Llama-3.1-70B-Instruct,Same,fewshot,500,0.995,0.9941666666666666,0.9958333333333333,0.0016666666666666774,0.9947932906321394,0.9968304278922345,0.9916666666666667
YN,ARITH,Llama3,Llama-3.1-8B,Llama-3.1-8B-Instruct,Cross,fewshot,500,0.8733333333333333,0.8691666666666666,0.8733333333333333,0.07166666666666666,0.8717916666666667,0.8758333333333334,0.8558333333333333
