Question_Type,Dataset,Model_Family,Target_Model,Source_Model,Transfer_Type,Prompt,Batch_Size,median_acc,q25_acc,q75_acc,bias_median,acc_mean,best_acc,worst_acc
YN,ARITH,Falcon,Falcon3-3B-Base,Falcon3-3B-Base,Same,zeroshot,500,0.8225,0.8206090011129661,0.8256249999999999,0.08083333333333331,0.8220706758885785,0.8291666666666667,0.8081534772182254
YN,ARITH,Falcon,Falcon3-3B-Instruct,Falcon3-3B-Instruct,Same,zeroshot,500,0.8033333333333333,0.8008342050209205,0.805,0.004166666666666652,0.8019422125431024,0.81,0.7692307692307693
YN,ARITH,Falcon,Falcon3-10B-Base,Falcon3-10B-Base,Same,zeroshot,500,0.8525,0.8508333333333333,0.8539583333333334,0.05666666666666664,0.8527528016456366,0.866877971473851,0.8462206776715899
YN,ARITH,Falcon,Falcon3-10B-Instruct,Falcon3-10B-Instruct,Same,zeroshot,500,0.8658333333333333,0.865,0.8675,0.050833333333333314,0.8667632714145012,0.884310618066561,0.8608058608058609
YN,ARITH,Falcon,Falcon3-3B-Base,Falcon3-3B-Instruct,Cross,zeroshot,500,0.8333333333333334,0.8316666666666667,0.835,0.13916666666666666,0.8311749999999998,0.8366666666666667,0.7925
YN,ARITH,Falcon,Falcon3-3B-Base,Falcon3-10B-Base,Cross,zeroshot,500,0.7133333333333334,0.7,0.7208333333333333,0.165,0.7111083333333333,0.7733333333333333,0.6683333333333333
YN,ARITH,Falcon,Falcon3-3B-Base,Falcon3-10B-Instruct,Cross,zeroshot,500,0.5041666666666667,0.5025,0.506875,0.49583333333333335,0.5053333333333334,0.5316666666666666,0.5
YN,ARITH,Falcon,Falcon3-3B-Instruct,Falcon3-3B-Base,Cross,zeroshot,500,0.79,0.7883333333333333,0.7916666666666666,0.033333333333333326,0.7894333333333335,0.7966666666666666,0.7708333333333334
YN,ARITH,Falcon,Falcon3-3B-Instruct,Falcon3-10B-Base,Cross,zeroshot,500,0.73125,0.725,0.7333333333333333,0.14833333333333332,0.7283083333333333,0.7508333333333334,0.7
YN,ARITH,Falcon,Falcon3-3B-Instruct,Falcon3-10B-Instruct,Cross,zeroshot,500,0.615,0.6075,0.6212500000000001,0.33333333333333337,0.6160166666666668,0.645,0.585
YN,ARITH,Falcon,Falcon3-10B-Base,Falcon3-3B-Base,Cross,zeroshot,500,0.8433333333333334,0.8416666666666667,0.8433333333333334,0.10999999999999999,0.8431000000000002,0.8475,0.8391666666666666
YN,ARITH,Falcon,Falcon3-10B-Base,Falcon3-3B-Instruct,Cross,zeroshot,500,0.8333333333333334,0.83,0.8366666666666667,0.12666666666666668,0.8320333333333332,0.8433333333333334,0.7925
YN,ARITH,Falcon,Falcon3-10B-Base,Falcon3-10B-Instruct,Cross,zeroshot,500,0.765,0.7583333333333333,0.7741666666666667,0.125,0.7664083333333331,0.8008333333333333,0.7191666666666666
YN,ARITH,Falcon,Falcon3-10B-Instruct,Falcon3-3B-Base,Cross,zeroshot,500,0.825,0.8225,0.8266666666666667,0.15666666666666665,0.825125,0.8366666666666667,0.815
YN,ARITH,Falcon,Falcon3-10B-Instruct,Falcon3-3B-Instruct,Cross,zeroshot,500,0.8008333333333333,0.7925,0.8091666666666667,0.18416666666666667,0.7998249999999999,0.825,0.76
YN,ARITH,Falcon,Falcon3-10B-Instruct,Falcon3-10B-Base,Cross,zeroshot,500,0.8658333333333333,0.8625,0.8666666666666667,0.10166666666666668,0.8650833333333331,0.8716666666666667,0.8533333333333334
YN,ARITH,Gemma3,gemma-3-27b-pt,gemma-3-27b-pt,Same,zeroshot,500,0.9266666666666666,0.925,0.9283333333333333,0.02833333333333332,0.9260100725461834,0.9308333333333333,0.9084249084249084
YN,ARITH,Gemma3,gemma-3-27b-it,gemma-3-27b-it,Same,zeroshot,500,0.9883333333333333,0.9868468468468469,0.9883333333333333,0.008333333333333331,0.9876595528201648,0.9895038167938931,0.9829059829059829
YN,ARITH,Gemma3,gemma-3-12b-pt,gemma-3-12b-pt,Same,zeroshot,500,0.8475,0.8441666666666666,0.8497093776463301,0.03500000000000002,0.846868169928756,0.8575380359612724,0.8358662613981763
