Question_Type,Dataset,Model_Family,Target_Model,Transfer_Type,median_acc,q25_acc,q75_acc,bias_median,best_acc,worst_acc
MCQ,MMLU-OTHERS,Falcon,Falcon3-10B-Instruct,Same,0.6255,0.6244,0.6266,0.0233,0.6318,0.6205
MCQ,MMLU-OTHERS,Falcon,Falcon3-3B-Base,Cross,0.5006,0.4935,0.5063,0.2472,0.5193,0.473
MCQ,MMLU-OTHERS,Falcon,Falcon3-3B-Base,Same,0.5429,0.541,0.5441,0.0343,0.5492,0.5351
MCQ,MMLU-OTHERS,Falcon,Falcon3-3B-Instruct,Cross,0.5643,0.5635,0.5653,0.0843,0.5685,0.5613
MCQ,MMLU-OTHERS,Falcon,Falcon3-3B-Instruct,Same,0.5781,0.577,0.5795,0.0346,0.5854,0.5736
MCQ,MMLU-OTHERS,Gemma3,gemma-3-12b-it,Cross,0.7539,0.7533,0.7543,0.0545,0.7557,0.7519
MCQ,MMLU-OTHERS,Gemma3,gemma-3-12b-it,Same,0.7557,0.755,0.7565,0.0473,0.7624,0.7527
MCQ,MMLU-OTHERS,Gemma3,gemma-3-12b-pt,Cross,0.7079,0.7009,0.7133,0.1475,0.7257,0.6758
MCQ,MMLU-OTHERS,Gemma3,gemma-3-12b-pt,Same,0.751,0.7494,0.7522,0.0403,0.7567,0.7456
MCQ,MMLU-OTHERS,Gemma3,gemma-3-27b-it,Cross,0.785,0.7842,0.7857,0.03,0.7869,0.7821
MCQ,MMLU-OTHERS,Gemma3,gemma-3-27b-it,Same,0.7856,0.7849,0.7865,0.0294,0.7919,0.7827
MCQ,MMLU-OTHERS,Gemma3,gemma-3-27b-pt,Cross,0.7521,0.7464,0.7569,0.1304,0.7676,0.7289
MCQ,MMLU-OTHERS,Gemma3,gemma-3-27b-pt,Same,0.7935,0.7924,0.7943,0.0222,0.7993,0.7891
MCQ,MMLU-OTHERS,Llama3,Llama-3.1-70B,Cross,0.7436,0.7413,0.746,0.0734,0.7517,0.7308
MCQ,MMLU-OTHERS,Llama3,Llama-3.1-70B,Same,0.7508,0.7495,0.7525,0.0499,0.7555,0.7465
MCQ,MMLU-OTHERS,Llama3,Llama-3.1-70B-Instruct,Cross,0.8166,0.8157,0.8175,0.0401,0.8201,0.8121
MCQ,MMLU-OTHERS,Llama3,Llama-3.1-70B-Instruct,Same,0.8135,0.8121,0.8147,0.0473,0.8215,0.8087
MCQ,MMLU-OTHERS,Llama3,Llama-3.1-8B,Cross,0.6149,0.61,0.6194,0.1578,0.6292,0.5969
MCQ,MMLU-OTHERS,Llama3,Llama-3.1-8B,Same,0.6305,0.6288,0.6321,0.0549,0.6371,0.6245
MCQ,MMLU-OTHERS,Llama3,Llama-3.1-8B-Instruct,Cross,0.7074,0.7059,0.7087,0.0749,0.7126,0.701
MCQ,MMLU-OTHERS,Llama3,Llama-3.1-8B-Instruct,Same,0.7119,0.7106,0.7133,0.0449,0.718,0.7067
MCQ,MMLU-SOCIAL_SCI,Falcon,Falcon3-10B-Base,Cross,0.696,0.6916,0.7003,0.1304,0.7079,0.672
MCQ,MMLU-SOCIAL_SCI,Falcon,Falcon3-10B-Base,Same,0.732,0.7304,0.7335,0.0303,0.7371,0.7271
MCQ,MMLU-SOCIAL_SCI,Falcon,Falcon3-10B-Instruct,Cross,0.6132,0.6111,0.6154,0.2465,0.6206,0.6044
MCQ,MMLU-SOCIAL_SCI,Falcon,Falcon3-10B-Instruct,Same,0.6721,0.6707,0.6735,0.03,0.6801,0.6673
MCQ,MMLU-SOCIAL_SCI,Falcon,Falcon3-3B-Base,Cross,0.5161,0.509,0.5232,0.2413,0.537,0.485
MCQ,MMLU-SOCIAL_SCI,Falcon,Falcon3-3B-Base,Same,0.559,0.5576,0.5603,0.0339,0.5632,0.5531
MCQ,MMLU-SOCIAL_SCI,Falcon,Falcon3-3B-Instruct,Cross,0.5973,0.5965,0.5982,0.0659,0.6008,0.5931
MCQ,MMLU-SOCIAL_SCI,Falcon,Falcon3-3B-Instruct,Same,0.6094,0.6084,0.6107,0.0183,0.614,0.6047
MCQ,MMLU-SOCIAL_SCI,Gemma3,gemma-3-12b-it,Cross,0.7883,0.7879,0.7889,0.034,0.79,0.7862
MCQ,MMLU-SOCIAL_SCI,Gemma3,gemma-3-12b-it,Same,0.7899,0.7892,0.7905,0.0298,0.7962,0.7876
MCQ,MMLU-SOCIAL_SCI,Gemma3,gemma-3-12b-pt,Cross,0.7334,0.726,0.7384,0.1308,0.7529,0.7026
MCQ,MMLU-SOCIAL_SCI,Gemma3,gemma-3-12b-pt,Same,0.7752,0.7738,0.7769,0.0379,0.7816,0.769
MCQ,MMLU-SOCIAL_SCI,Gemma3,gemma-3-27b-it,Cross,0.825,0.8244,0.8254,0.0265,0.8265,0.8228
MCQ,MMLU-SOCIAL_SCI,Gemma3,gemma-3-27b-it,Same,0.8247,0.824,0.8257,0.029,0.831,0.8215
MCQ,MMLU-SOCIAL_SCI,Gemma3,gemma-3-27b-pt,Cross,0.7881,0.7823,0.7927,0.11,0.8068,0.7636
MCQ,MMLU-SOCIAL_SCI,Gemma3,gemma-3-27b-pt,Same,0.8272,0.8256,0.8286,0.0143,0.8322,0.8222
MCQ,MMLU-SOCIAL_SCI,Llama3,Llama-3.1-70B,Cross,0.7629,0.7603,0.7655,0.0808,0.7713,0.7503
MCQ,MMLU-SOCIAL_SCI,Llama3,Llama-3.1-70B,Same,0.7749,0.7733,0.7763,0.0479,0.78,0.7689
MCQ,MMLU-SOCIAL_SCI,Llama3,Llama-3.1-70B-Instruct,Cross,0.8505,0.8494,0.8517,0.0291,0.854,0.8465
MCQ,MMLU-SOCIAL_SCI,Llama3,Llama-3.1-70B-Instruct,Same,0.8474,0.8462,0.8488,0.0386,0.8541,0.8436
MCQ,MMLU-SOCIAL_SCI,Llama3,Llama-3.1-8B,Cross,0.6109,0.6071,0.6156,0.1653,0.6261,0.5921
MCQ,MMLU-SOCIAL_SCI,Llama3,Llama-3.1-8B,Same,0.6314,0.6298,0.6328,0.0796,0.6371,0.6247
MCQ,MMLU-SOCIAL_SCI,Llama3,Llama-3.1-8B-Instruct,Cross,0.7131,0.7111,0.7147,0.0755,0.7184,0.7067
MCQ,MMLU-SOCIAL_SCI,Llama3,Llama-3.1-8B-Instruct,Same,0.7197,0.7182,0.7212,0.0407,0.7256,0.7134
MCQ,MMLU-STEM,Falcon,Falcon3-10B-Base,Cross,0.5799,0.5759,0.5834,0.1787,0.5918,0.5619
MCQ,MMLU-STEM,Falcon,Falcon3-10B-Base,Same,0.6074,0.6056,0.6092,0.0307,0.6152,0.6004
MCQ,MMLU-STEM,Falcon,Falcon3-10B-Instruct,Cross,0.5213,0.52,0.5225,0.2528,0.5259,0.5162
MCQ,MMLU-STEM,Falcon,Falcon3-10B-Instruct,Same,0.5589,0.5576,0.5606,0.0314,0.5673,0.5525
MCQ,MMLU-STEM,Falcon,Falcon3-3B-Base,Cross,0.4356,0.4302,0.4412,0.3108,0.4549,0.409
MCQ,MMLU-STEM,Falcon,Falcon3-3B-Base,Same,0.4661,0.4642,0.4676,0.0328,0.4721,0.4603
MCQ,MMLU-STEM,Falcon,Falcon3-3B-Instruct,Cross,0.5069,0.5059,0.5079,0.0847,0.5111,0.5033
MCQ,MMLU-STEM,Falcon,Falcon3-3B-Instruct,Same,0.5146,0.5125,0.5161,0.044,0.5204,0.5085
MCQ,MMLU-STEM,Gemma3,gemma-3-12b-it,Cross,0.6407,0.6401,0.6415,0.0903,0.6433,0.6381
MCQ,MMLU-STEM,Gemma3,gemma-3-12b-it,Same,0.6435,0.6422,0.6446,0.0655,0.6482,0.6391
MCQ,MMLU-STEM,Gemma3,gemma-3-12b-pt,Cross,0.5843,0.5754,0.5922,0.2417,0.6139,0.5513
MCQ,MMLU-STEM,Gemma3,gemma-3-12b-pt,Same,0.6317,0.6303,0.6332,0.0506,0.6409,0.6255
MCQ,MMLU-STEM,Gemma3,gemma-3-27b-it,Cross,0.6961,0.6953,0.6971,0.0513,0.6998,0.6931
MCQ,MMLU-STEM,Gemma3,gemma-3-27b-it,Same,0.699,0.6979,0.7001,0.0471,0.7055,0.695
MCQ,MMLU-STEM,Gemma3,gemma-3-27b-pt,Cross,0.651,0.6445,0.6576,0.2003,0.675,0.6269
MCQ,MMLU-STEM,Gemma3,gemma-3-27b-pt,Same,0.7053,0.7035,0.7071,0.0272,0.7111,0.7
MCQ,MMLU-STEM,Llama3,Llama-3.1-70B,Cross,0.6081,0.605,0.6107,0.1408,0.6166,0.5938
MCQ,MMLU-STEM,Llama3,Llama-3.1-70B,Same,0.6232,0.6215,0.625,0.0247,0.6301,0.6158
MCQ,MMLU-STEM,Llama3,Llama-3.1-70B-Instruct,Cross,0.7052,0.7041,0.7064,0.0679,0.7092,0.6999
MCQ,MMLU-STEM,Llama3,Llama-3.1-70B-Instruct,Same,0.7082,0.7067,0.7097,0.0389,0.7143,0.7004
MCQ,MMLU-STEM,Llama3,Llama-3.1-8B,Cross,0.4647,0.461,0.4682,0.2243,0.4765,0.4476
MCQ,MMLU-STEM,Llama3,Llama-3.1-8B,Same,0.4765,0.475,0.4783,0.0491,0.4826,0.4694
MCQ,MMLU-STEM,Llama3,Llama-3.1-8B-Instruct,Cross,0.5368,0.5349,0.5388,0.1169,0.544,0.5282
MCQ,MMLU-STEM,Llama3,Llama-3.1-8B-Instruct,Same,0.5377,0.5361,0.5399,0.0479,0.5447,0.5319
NLI,MNLI,Falcon,Falcon3-10B-Base,Cross,0.6546,0.6342,0.6671,0.2773,0.6922,0.5898
NLI,MNLI,Falcon,Falcon3-10B-Base,Same,0.7847,0.7828,0.7861,0.0837,0.7899,0.7748
NLI,MNLI,Falcon,Falcon3-10B-Instruct,Cross,0.8399,0.8385,0.8416,0.0453,0.8445,0.8311
NLI,MNLI,Falcon,Falcon3-10B-Instruct,Same,0.8444,0.8435,0.845,0.0254,0.8472,0.8408
NLI,MNLI,Falcon,Falcon3-3B-Base,Cross,0.422,0.4106,0.4323,0.5407,0.4637,0.3948
NLI,MNLI,Falcon,Falcon3-3B-Base,Same,0.5495,0.5468,0.5513,0.1038,0.5566,0.5395
NLI,MNLI,Falcon,Falcon3-3B-Instruct,Cross,0.6298,0.6276,0.6313,0.1523,0.6349,0.6226
NLI,MNLI,Falcon,Falcon3-3B-Instruct,Same,0.6456,0.6438,0.6475,0.1063,0.6538,0.6379
NLI,MNLI,Gemma3,gemma-3-12b-it,Cross,0.7677,0.7672,0.7684,0.1087,0.7702,0.7648
NLI,MNLI,Gemma3,gemma-3-12b-it,Same,0.7942,0.7938,0.7949,0.0668,0.8016,0.7917
NLI,MNLI,Gemma3,gemma-3-12b-pt,Cross,0.6022,0.5938,0.6075,0.2986,0.6184,0.5618
NLI,MNLI,Gemma3,gemma-3-12b-pt,Same,0.6785,0.6771,0.6799,0.1029,0.6882,0.6733
NLI,MNLI,Gemma3,gemma-3-27b-it,Cross,0.7939,0.7929,0.7947,0.1382,0.7982,0.7909
NLI,MNLI,Gemma3,gemma-3-27b-it,Same,0.8032,0.8018,0.8046,0.1154,0.8115,0.7978
NLI,MNLI,Gemma3,gemma-3-27b-pt,Cross,0.6336,0.622,0.6436,0.2876,0.67,0.5852
NLI,MNLI,Gemma3,gemma-3-27b-pt,Same,0.7516,0.7508,0.7528,0.063,0.7559,0.7452
NLI,MNLI,Llama3,Llama-3.1-70B,Cross,0.6669,0.6597,0.6734,0.2231,0.6921,0.6309
NLI,MNLI,Llama3,Llama-3.1-70B,Same,0.742,0.7403,0.7434,0.0663,0.7495,0.7352
NLI,MNLI,Llama3,Llama-3.1-70B-Instruct,Cross,0.7692,0.7675,0.7709,0.1282,0.7763,0.7614
NLI,MNLI,Llama3,Llama-3.1-70B-Instruct,Same,0.8075,0.8067,0.8087,0.0286,0.8114,0.803
