Question_Type,Dataset,Model_Family,Target_Model,Transfer_Type,median_acc,q25_acc,q75_acc,bias_median,best_acc,worst_acc
YN,EWOK,Falcon,Falcon3-10B-Base,Cross,0.6959,0.6864,0.7047,0.1718,0.7178,0.6632
YN,EWOK,Falcon,Falcon3-10B-Base,Same,0.7304,0.7285,0.7317,0.0072,0.7367,0.7232
YN,EWOK,Falcon,Falcon3-10B-Instruct,Cross,0.7402,0.7393,0.7409,0.0743,0.7435,0.737
YN,EWOK,Falcon,Falcon3-10B-Instruct,Same,0.7485,0.7466,0.7504,0.0101,0.7551,0.7415
YN,EWOK,Falcon,Falcon3-3B-Base,Cross,0.5666,0.5556,0.5773,0.3655,0.5999,0.5294
YN,EWOK,Falcon,Falcon3-3B-Base,Same,0.6351,0.6328,0.637,0.0108,0.6434,0.6284
YN,EWOK,Falcon,Falcon3-3B-Instruct,Cross,0.6541,0.6528,0.6558,0.1695,0.659,0.6479
YN,EWOK,Falcon,Falcon3-3B-Instruct,Same,0.6706,0.669,0.6723,0.0205,0.6773,0.665
YN,EWOK,Gemma3,gemma-3-12b-it,Cross,0.7403,0.7385,0.7414,0.1157,0.7425,0.7353
YN,EWOK,Gemma3,gemma-3-12b-it,Same,0.7412,0.7391,0.7431,0.0076,0.7477,0.7336
YN,EWOK,Gemma3,gemma-3-12b-pt,Cross,0.6133,0.5996,0.6347,0.2567,0.6632,0.5771
YN,EWOK,Gemma3,gemma-3-12b-pt,Same,0.7011,0.6994,0.7026,0.0077,0.7072,0.6955
YN,EWOK,Gemma3,gemma-3-27b-it,Cross,0.7696,0.7682,0.7709,0.0482,0.7726,0.7654
YN,EWOK,Gemma3,gemma-3-27b-it,Same,0.7725,0.7713,0.7745,0.0124,0.7782,0.7667
YN,EWOK,Gemma3,gemma-3-27b-pt,Cross,0.6365,0.6218,0.6578,0.2418,0.6794,0.5934
YN,EWOK,Gemma3,gemma-3-27b-pt,Same,0.7118,0.7095,0.7138,0.0066,0.7188,0.7051
YN,EWOK,Llama3,Llama-3.1-70B,Cross,0.7437,0.7405,0.7462,0.0992,0.7517,0.7301
YN,EWOK,Llama3,Llama-3.1-70B,Same,0.7571,0.7555,0.7587,0.0064,0.764,0.7517
YN,EWOK,Llama3,Llama-3.1-70B-Instruct,Cross,0.8035,0.8019,0.8042,0.0795,0.8062,0.7979
YN,EWOK,Llama3,Llama-3.1-70B-Instruct,Same,0.8089,0.8071,0.8105,0.0044,0.8161,0.8036
YN,EWOK,Llama3,Llama-3.1-8B,Cross,0.6261,0.6213,0.63,0.1633,0.6396,0.6024
YN,EWOK,Llama3,Llama-3.1-8B,Same,0.6473,0.6456,0.6493,0.0157,0.6542,0.6417
YN,EWOK,Llama3,Llama-3.1-8B-Instruct,Cross,0.6932,0.6893,0.6967,0.0986,0.7014,0.6802
YN,EWOK,Llama3,Llama-3.1-8B-Instruct,Same,0.7074,0.7056,0.7093,0.0062,0.7128,0.7012
