model_family,model_name,bos_a_logprob,bos_b_logprob,bos_c_logprob,bos_d_logprob
Falcon,Falcon3-3B-Base,-6.084312438964844,-7.0123515129089355,-6.090256690979004,-7.764623641967773
Falcon,Falcon3-3B-Instruct,-7.216907501220703,-9.423711776733398,-6.899546146392822,-8.859493255615234
Falcon,Falcon3-10B-Base,-12.286286354064941,-13.92358684539795,-13.714776039123535,-13.54858684539795
Falcon,Falcon3-10B-Instruct,-13.996665000915527,-15.754179954528809,-15.371665000915527,-15.371665000915527
MPT,mpt-7b,-3.716632127761841,-4.841993808746338,-4.966495513916016,-5.091350555419922
MPT,mpt-7b-chat,-4.451153755187988,-5.455019474029541,-4.693248748779297,-5.181857585906982
MPT,mpt-30b,-4.5598649978637695,-5.561588764190674,-5.561173915863037,-5.8104472160339355
MPT,mpt-30b-chat,-4.644853591918945,-5.526483535766602,-5.897899627685547,-6.264710903167725
Qwen,Qwen1.5-7B,-5.090035915374756,-5.807582378387451,-5.653169631958008,-5.777042388916016
Qwen,Qwen1.5-7B-Chat,-7.780587196350098,-6.519123077392578,-7.121664524078369,-8.434165000915527
Qwen,Qwen1.5-32B,-5.0598649978637695,-5.624088764190674,-5.9973649978637695,-6.6223649978637695
Qwen,Qwen1.5-32B-Chat,-6.546110153198242,-6.373622894287109,-6.177046775817871,-6.071211814880371
Qwen2,Qwen2.5-14B,-4.466993808746338,-6.21821403503418,-6.40504264831543,-6.841993808746338
Qwen2,Qwen2.5-14B-Instruct,-4.122815132141113,-5.061832904815674,-6.185997486114502,-5.936400890350342
Qwen2,Qwen2.5-32B,-4.6848649978637695,-6.748400688171387,-6.747815132141113,-6.996617794036865
Qwen2,Qwen2.5-32B-Instruct,-4.465856075286865,-6.404881954193115,-6.840856075286865,-7.214796543121338
Llama,Llama-2-7b-hf,-4.607940196990967,-5.827210903167725,-5.3556904792785645,-5.65952730178833
Llama,Llama-2-7b-chat-hf,-7.746554374694824,-9.052913665771484,-8.028854370117188,-8.204290390014648
Llama,Llama-2-13b-hf,-4.206623077392578,-5.206623077392578,-4.928332328796387,-4.92418909072876
Llama,Llama-2-13b-chat-hf,-6.218087196350098,-7.108809947967529,-6.759363174438477,-7.209776401519775
Llama3,Llama-3.1-8B,-4.5625,-5.6875,-5.75,-6.0625
Llama3,Llama-3.1-8B-Instruct,-9.3125,-10.25,-10.4375,-10.125
Llama3,Llama-3.1-70B,-4.65625,-5.90625,-5.78125,-6.09375
Llama3,Llama-3.1-70B-Instruct,-4.6875,-6.0625,-5.75,-5.9375
Gemma3,gemma-3-12b-pt,-3.9061970710754395,-6.406208515167236,-6.65612268447876,-6.343706130981445
Gemma3,gemma-3-12b-it,-3.89035964012146,-5.999754428863525,-6.061980724334717,-5.874796390533447
Gemma3,gemma-3-27b-pt,-3.9218356609344482,-6.6874918937683105,-6.9374518394470215,-6.562474250793457
Gemma3,gemma-3-27b-it,-3.2342090606689453,-5.90612268447876,-6.09321403503418,-5.905962944030762
