model_family,model_name,bos_0_logprob,bos_1_logprob,bos_2_logprob
Falcon,Falcon3-3B-Base,-3.9384655952453613,-1.8307188749313354,-2.134995698928833
Falcon,Falcon3-3B-Instruct,-4.468086242675781,-2.1272034645080566,-3.248279333114624
Falcon,Falcon3-10B-Base,-8.13379955291748,-1.105385661125183,-2.8121109008789062
Falcon,Falcon3-10B-Instruct,-8.644500732421875,-0.6375292539596558,-2.1066136360168457
Llama3,Llama-3.1-8B,-8.539377212524414,-3.578859806060791,-6.857041835784912
Llama3,Llama-3.1-8B-Instruct,-5.936980724334717,-1.6328063011169434,-4.624868869781494
Llama3,Llama-3.1-70B,-7.536890029907227,-3.1734468936920166,-5.973148822784424
Gemma3,gemma-3-12b-pt,-3.6968977451324463,-2.134979724884033,-2.5194668769836426
Gemma3,gemma-3-12b-it,-4.915046691894531,-2.4842967987060547,-2.7967967987060547
Gemma3,gemma-3-27b-pt,-3.6887402534484863,-2.022402048110962,-2.4037911891937256
Gemma3,gemma-3-27b-it,-5.3063645362854,-3.8885443210601807,-4.267336845397949
