model_family,model_name,bos_yes_logprob,bos_no_logprob
Falcon,Falcon3-3B-Base,-8.76337718963623,-8.986942291259766
Falcon,Falcon3-3B-Instruct,-9.594001770019531,-10.359006881713867
Falcon,Falcon3-10B-Base,-15.593850135803223,-12.738216400146484
Falcon,Falcon3-10B-Instruct,-16.46477508544922,-13.530860900878906
MPT,mpt-7b,-7.5902605056762695,-6.7152605056762695
MPT,mpt-7b-chat,-9.34524917602539,-6.814901828765869
MPT,mpt-30b,-7.622195243835449,-6.433159351348877
MPT,mpt-30b-chat,-8.98583698272705,-6.569775581359863
Qwen,Qwen1.5-7B,-9.994071006774902,-8.997014999389648
Qwen,Qwen1.5-7B-Chat,-11.403854370117188,-12.550716400146484
Qwen,Qwen1.5-32B,-7.655184268951416,-6.560797691345215
Qwen,Qwen1.5-32B-Chat,-9.9874906539917,-9.744071006774902
Qwen2,Qwen2.5-14B,-10.058899879455566,-8.747673988342285
Qwen2,Qwen2.5-14B-Instruct,-10.62092113494873,-8.37116813659668
Qwen2,Qwen2.5-32B,-9.370379447937012,-9.123071670532227
Qwen2,Qwen2.5-32B-Instruct,-9.24592113494873,-9.372014999389648
Llama,Llama-2-7b-hf,-7.961822032928467,-6.744429588317871
Llama,Llama-2-7b-chat-hf,-11.044541358947754,-10.583714485168457
Llama,Llama-2-13b-hf,-9.17333698272705,-6.9315714836120605
Llama,Llama-2-13b-chat-hf,-9.464055061340332,-8.679901123046875
Llama3,Llama-3.1-8B,-8.812309265136719,-7.437499046325684
Llama3,Llama-3.1-8B-Instruct,-9.062451362609863,-10.562499046325684
Llama3,Llama-3.1-70B,-8.437499046325684,-7.28125
Llama3,Llama-3.1-70B-Instruct,-8.187498092651367,-7.25
Gemma3,gemma-3-12b-pt,-9.307662963867188,-7.776275634765625
Gemma3,gemma-3-12b-it,-8.474807739257812,-7.0888872146606445
Gemma3,gemma-3-27b-pt,-9.749979019165039,-8.062477111816406
Gemma3,gemma-3-27b-it,-8.81222152709961,-7.0934247970581055
