Question_Type,Target_Dataset,Source_Dataset,Transfer_Type,Model_Family,Model,Prompt,Batch_Size,median_acc,q25_acc,q75_acc,bias_median,acc_mean,best_run_acc,worst_run_acc
YN,ARITH,ARITH,Same,Falcon,Falcon3-3B-Base,zeroshot,500,0.8225,0.8206090011129661,0.8256249999999999,0.08083333333333331,0.8220706758885785,0.8291666666666667,0.8081534772182254
YN,ARITH,BABI,Cross,Falcon,Falcon3-3B-Base,zeroshot,500,0.7608333333333334,0.7466666666666667,0.7683333333333333,0.07416666666666669,0.757525,0.7825,0.73
YN,ARITH,COMPS,Cross,Falcon,Falcon3-3B-Base,zeroshot,500,0.6658333333333334,0.6572916666666666,0.675,0.26083333333333336,0.6670833333333333,0.695,0.6366666666666667
YN,ARITH,EWOK,Cross,Falcon,Falcon3-3B-Base,zeroshot,500,0.7466666666666667,0.743125,0.7533333333333333,0.09166666666666667,0.7480749999999999,0.7683333333333333,0.7233333333333334
YN,ARITH,ARITH,Same,Falcon,Falcon3-3B-Instruct,zeroshot,500,0.8033333333333333,0.8008342050209205,0.805,0.004166666666666652,0.8019422125431024,0.81,0.7692307692307693
YN,ARITH,BABI,Cross,Falcon,Falcon3-3B-Instruct,zeroshot,500,0.82,0.8158333333333333,0.8243750000000001,0.12,0.8199583333333332,0.8291666666666667,0.8075
YN,ARITH,COMPS,Cross,Falcon,Falcon3-3B-Instruct,zeroshot,500,0.7525,0.7508333333333334,0.755,0.09333333333333334,0.7525916666666665,0.7816666666666666,0.7333333333333333
YN,ARITH,EWOK,Cross,Falcon,Falcon3-3B-Instruct,zeroshot,500,0.8175,0.8158333333333333,0.8191666666666667,0.024583333333333346,0.8168666666666669,0.8266666666666667,0.8033333333333333
YN,ARITH,ARITH,Same,Falcon,Falcon3-10B-Base,zeroshot,500,0.8525,0.8508333333333333,0.8539583333333334,0.05666666666666664,0.8527528016456366,0.866877971473851,0.8462206776715899
YN,ARITH,BABI,Cross,Falcon,Falcon3-10B-Base,zeroshot,500,0.8533333333333334,0.8525,0.8533333333333334,0.05666666666666664,0.8525500000000003,0.855,0.845
YN,ARITH,COMPS,Cross,Falcon,Falcon3-10B-Base,zeroshot,500,0.8533333333333334,0.8483333333333334,0.8533333333333334,0.05500000000000002,0.8517083333333336,0.855,0.8425
YN,ARITH,EWOK,Cross,Falcon,Falcon3-10B-Base,zeroshot,500,0.8533333333333334,0.8525,0.8535416666666666,0.06416666666666668,0.8533500000000004,0.855,0.8516666666666667
YN,ARITH,ARITH,Same,Falcon,Falcon3-10B-Instruct,zeroshot,500,0.8658333333333333,0.865,0.8675,0.050833333333333314,0.8667632714145012,0.884310618066561,0.8608058608058609
YN,ARITH,BABI,Cross,Falcon,Falcon3-10B-Instruct,zeroshot,500,0.8558333333333333,0.8533333333333334,0.8616666666666667,0.11750000000000002,0.8559416666666667,0.8691666666666666,0.8191666666666667
YN,ARITH,COMPS,Cross,Falcon,Falcon3-10B-Instruct,zeroshot,500,0.8708333333333333,0.8691666666666666,0.8710416666666667,0.07166666666666666,0.8703000000000003,0.8725,0.8675
YN,ARITH,EWOK,Cross,Falcon,Falcon3-10B-Instruct,zeroshot,500,0.87,0.8691666666666666,0.8708333333333333,0.08416666666666664,0.8699250000000002,0.8716666666666667,0.8683333333333333
YN,ARITH,ARITH,Same,Gemma3,gemma-3-27b-pt,zeroshot,500,0.9266666666666666,0.925,0.9283333333333333,0.02833333333333332,0.9260100725461834,0.9308333333333333,0.9084249084249084
YN,ARITH,BABI,Cross,Gemma3,gemma-3-27b-pt,zeroshot,500,0.9,0.9,0.91,0.08833333333333335,0.9032083333333335,0.91,0.89
YN,ARITH,COMPS,Cross,Gemma3,gemma-3-27b-pt,zeroshot,500,0.9025,0.9025,0.9191666666666667,0.04416666666666669,0.9097916666666669,0.9191666666666667,0.8816666666666667
YN,ARITH,EWOK,Cross,Gemma3,gemma-3-27b-pt,zeroshot,500,0.89,0.8666666666666667,0.89,0.10499999999999998,0.8818416666666667,0.89,0.8666666666666667
YN,ARITH,ARITH,Same,Gemma3,gemma-3-27b-it,zeroshot,500,0.9883333333333333,0.9868468468468469,0.9883333333333333,0.008333333333333331,0.9876595528201648,0.9895038167938931,0.9829059829059829
YN,ARITH,BABI,Cross,Gemma3,gemma-3-27b-it,zeroshot,500,0.99,0.9889583333333333,0.99,0.003333333333333327,0.9895249999999999,0.9908333333333333,0.9883333333333333
YN,ARITH,COMPS,Cross,Gemma3,gemma-3-27b-it,zeroshot,500,0.985,0.9825,0.9866666666666667,0.011666666666666686,0.9847916666666666,0.9908333333333333,0.9766666666666667
YN,ARITH,EWOK,Cross,Gemma3,gemma-3-27b-it,zeroshot,500,0.9883333333333333,0.9883333333333333,0.9883333333333333,0.0050000000000000044,0.9883416666666665,0.9891666666666666,0.9883333333333333
YN,ARITH,ARITH,Same,Gemma3,gemma-3-12b-pt,zeroshot,500,0.8475,0.8441666666666666,0.8497093776463301,0.03500000000000002,0.846868169928756,0.8575380359612724,0.8358662613981763
YN,ARITH,BABI,Cross,Gemma3,gemma-3-12b-pt,zeroshot,500,0.8183333333333334,0.8183333333333334,0.8383333333333334,0.14666666666666664,0.8264999999999999,0.8425,0.7958333333333333
YN,ARITH,COMPS,Cross,Gemma3,gemma-3-12b-pt,zeroshot,500,0.645,0.645,0.645,0.355,0.6472083333333332,0.6666666666666666,0.6166666666666667
YN,ARITH,EWOK,Cross,Gemma3,gemma-3-12b-pt,zeroshot,500,0.8516666666666667,0.8516666666666667,0.8516666666666667,0.006666666666666682,0.8515750000000003,0.8616666666666667,0.8425
YN,ARITH,ARITH,Same,Gemma3,gemma-3-12b-it,zeroshot,500,0.8825,0.8808333333333334,0.8841666666666667,0.01416666666666666,0.8808338440039454,0.886744966442953,0.8534798534798534
YN,ARITH,BABI,Cross,Gemma3,gemma-3-12b-it,zeroshot,500,0.8691666666666666,0.8641666666666666,0.87,0.08833333333333335,0.8674083333333332,0.88,0.845
YN,ARITH,COMPS,Cross,Gemma3,gemma-3-12b-it,zeroshot,500,0.69,0.6791666666666667,0.6983333333333334,0.31000000000000005,0.6873416666666665,0.7116666666666667,0.6475
YN,ARITH,EWOK,Cross,Gemma3,gemma-3-12b-it,zeroshot,500,0.8525,0.85,0.8527083333333334,0.11250000000000002,0.8531416666666667,0.8641666666666666,0.845
YN,ARITH,ARITH,Same,Llama3,Llama-3.1-8B,zeroshot,500,0.7808333333333334,0.7780851196930519,0.7833333333333333,0.07250000000000001,0.7803519148971761,0.7875,0.7582417582417582
YN,ARITH,BABI,Cross,Llama3,Llama-3.1-8B,zeroshot,500,0.6691666666666667,0.6541666666666667,0.6722916666666666,0.26249999999999996,0.6656416666666667,0.7033333333333334,0.625
YN,ARITH,COMPS,Cross,Llama3,Llama-3.1-8B,zeroshot,500,0.54,0.5389583333333333,0.5483333333333333,0.45833333333333337,0.543575,0.5741666666666667,0.5258333333333334
YN,ARITH,EWOK,Cross,Llama3,Llama-3.1-8B,zeroshot,500,0.7775,0.7766666666666666,0.785,0.04833333333333334,0.7820083333333332,0.8008333333333333,0.7666666666666667
YN,ARITH,ARITH,Same,Llama3,Llama-3.1-8B-Instruct,zeroshot,500,0.8283333333333334,0.8260416666666667,0.83,0.035,0.8263142639903439,0.835,0.7961630695443646
YN,ARITH,BABI,Cross,Llama3,Llama-3.1-8B-Instruct,zeroshot,500,0.8241666666666667,0.819375,0.8266666666666667,0.06,0.8224666666666668,0.8433333333333334,0.7991666666666667
YN,ARITH,COMPS,Cross,Llama3,Llama-3.1-8B-Instruct,zeroshot,500,0.6558333333333334,0.6441666666666667,0.6741666666666667,0.3375,0.6578999999999999,0.6983333333333334,0.6191666666666666
YN,ARITH,EWOK,Cross,Llama3,Llama-3.1-8B-Instruct,zeroshot,500,0.8241666666666667,0.8225,0.8266666666666667,0.06833333333333334,0.8228083333333335,0.8366666666666667,0.7991666666666667
YN,ARITH,ARITH,Same,Llama3,Llama-3.1-70B,zeroshot,500,0.9347015142945441,0.9333333333333333,0.9358333333333333,0.030000000000000027,0.9339973044393046,0.9391666666666667,0.9157509157509157
YN,ARITH,BABI,Cross,Llama3,Llama-3.1-70B,zeroshot,500,0.9341666666666667,0.9341666666666667,0.935,0.03249999999999997,0.9343666666666668,0.9383333333333334,0.925
YN,ARITH,COMPS,Cross,Llama3,Llama-3.1-70B,zeroshot,500,0.75,0.7308333333333333,0.7566666666666667,0.24166666666666664,0.745475,0.8075,0.6683333333333333
YN,ARITH,EWOK,Cross,Llama3,Llama-3.1-70B,zeroshot,500,0.9170833333333333,0.9166666666666666,0.925,0.07333333333333333,0.9195583333333335,0.9341666666666667,0.9033333333333333
YN,ARITH,ARITH,Same,Llama3,Llama-3.1-70B-Instruct,zeroshot,500,0.9666666666666667,0.965,0.9681854838709678,0.0050000000000000044,0.9660765503207439,0.9708333333333333,0.9515669515669516
YN,ARITH,BABI,Cross,Llama3,Llama-3.1-70B-Instruct,zeroshot,500,0.9691666666666666,0.9666666666666667,0.9708333333333333,0.015,0.9685166666666666,0.9725,0.9575
YN,ARITH,COMPS,Cross,Llama3,Llama-3.1-70B-Instruct,zeroshot,500,0.8333333333333334,0.8258333333333333,0.8508333333333333,0.16416666666666668,0.8361666666666665,0.88,0.7883333333333333
YN,ARITH,EWOK,Cross,Llama3,Llama-3.1-70B-Instruct,zeroshot,500,0.97,0.9691666666666666,0.9708333333333333,0.0037499999999999895,0.9696416666666667,0.9716666666666667,0.9658333333333333
YN,ARITH,ARITH,Same,Falcon,Falcon3-3B-Base,instronly,500,0.8407004730105732,0.8383734309623432,0.8425,0.010000000000000009,0.839357459170877,0.8466666666666667,0.8148148148148148
YN,ARITH,BABI,Cross,Falcon,Falcon3-3B-Base,instronly,500,0.8441666666666666,0.8425,0.8483333333333334,0.03083333333333335,0.8455499999999999,0.855,0.8391666666666666
YN,ARITH,COMPS,Cross,Falcon,Falcon3-3B-Base,instronly,500,0.7112499999999999,0.7033333333333334,0.715,0.26208333333333333,0.7087583333333334,0.7241666666666666,0.6825
YN,ARITH,EWOK,Cross,Falcon,Falcon3-3B-Base,instronly,500,0.8408333333333333,0.8391666666666666,0.8425,0.011666666666666686,0.841025,0.8441666666666666,0.8375
YN,ARITH,ARITH,Same,Falcon,Falcon3-3B-Instruct,instronly,500,0.8225,0.8198897058823529,0.82457255147468,0.018333333333333313,0.8206771724512386,0.8268581081081081,0.7838827838827839
YN,ARITH,BABI,Cross,Falcon,Falcon3-3B-Instruct,instronly,500,0.8266666666666667,0.8233333333333334,0.83,0.011666666666666686,0.8266916666666666,0.835,0.82
YN,ARITH,COMPS,Cross,Falcon,Falcon3-3B-Instruct,instronly,500,0.7745833333333334,0.7629166666666667,0.7822916666666666,0.11499999999999999,0.7722916666666666,0.7958333333333333,0.7408333333333333
YN,ARITH,EWOK,Cross,Falcon,Falcon3-3B-Instruct,instronly,500,0.8266666666666667,0.8266666666666667,0.8283333333333334,0.0050000000000000044,0.8274750000000001,0.8325,0.8216666666666667
YN,ARITH,ARITH,Same,Falcon,Falcon3-10B-Base,instronly,500,0.8873774509803921,0.8850889121338912,0.8891666666666667,0.004583333333333328,0.8870567229236465,0.8932146829810901,0.8807017543859649
YN,ARITH,BABI,Cross,Falcon,Falcon3-10B-Base,instronly,500,0.8866666666666667,0.8858333333333334,0.8891666666666667,0.004583333333333328,0.8871083333333334,0.8916666666666667,0.88
YN,ARITH,COMPS,Cross,Falcon,Falcon3-10B-Base,instronly,500,0.80125,0.7852083333333334,0.8075,0.17708333333333331,0.796675,0.8266666666666667,0.7533333333333333
YN,ARITH,EWOK,Cross,Falcon,Falcon3-10B-Base,instronly,500,0.8783333333333333,0.8758333333333334,0.8791666666666667,0.043333333333333335,0.8773749999999998,0.8833333333333333,0.8725
YN,ARITH,ARITH,Same,Falcon,Falcon3-10B-Instruct,instronly,500,0.8995833333333334,0.8975,0.9014692982456141,0.015000000000000013,0.8994780417471595,0.9080824088748018,0.8872901678657075
YN,ARITH,BABI,Cross,Falcon,Falcon3-10B-Instruct,instronly,500,0.8916666666666667,0.89,0.8941666666666667,0.019166666666666665,0.8918250000000001,0.8975,0.885
YN,ARITH,COMPS,Cross,Falcon,Falcon3-10B-Instruct,instronly,500,0.8541666666666666,0.8491666666666666,0.8583333333333333,0.09083333333333332,0.853625,0.865,0.83
YN,ARITH,EWOK,Cross,Falcon,Falcon3-10B-Instruct,instronly,500,0.895,0.8925,0.8958333333333334,0.015000000000000013,0.8938499999999999,0.8991666666666667,0.8875
YN,ARITH,ARITH,Same,Gemma3,gemma-3-27b-pt,instronly,500,0.9254041589835089,0.9235745883101982,0.9266666666666666,0.003333333333333327,0.9241722430757796,0.9333333333333333,0.8974358974358975
YN,ARITH,BABI,Cross,Gemma3,gemma-3-27b-pt,instronly,500,0.8883333333333333,0.8883333333333333,0.8916666666666667,0.09166666666666667,0.8893750000000001,0.9016666666666666,0.8516666666666667
YN,ARITH,COMPS,Cross,Gemma3,gemma-3-27b-pt,instronly,500,0.8883333333333333,0.8883333333333333,0.8916666666666667,0.09166666666666667,0.8889416666666667,0.9016666666666666,0.8766666666666667
YN,ARITH,EWOK,Cross,Gemma3,gemma-3-27b-pt,instronly,500,0.8916666666666667,0.8883333333333333,0.8916666666666667,0.07666666666666666,0.8902083333333336,0.8916666666666667,0.8883333333333333
YN,ARITH,ARITH,Same,Gemma3,gemma-3-27b-it,instronly,500,0.9640917015341701,0.9625,0.9658190734557596,0.002516891891891873,0.9637590294761982,0.9683333333333334,0.9557399723374828
YN,ARITH,BABI,Cross,Gemma3,gemma-3-27b-it,instronly,500,0.9633333333333334,0.9625,0.9641666666666666,0.005833333333333357,0.9635583333333335,0.9666666666666667,0.9616666666666667
YN,ARITH,COMPS,Cross,Gemma3,gemma-3-27b-it,instronly,500,0.9470833333333333,0.9425,0.9483333333333334,0.042499999999999996,0.9457666666666666,0.9541666666666667,0.9308333333333333
YN,ARITH,EWOK,Cross,Gemma3,gemma-3-27b-it,instronly,500,0.9616666666666667,0.96,0.9625,0.023333333333333317,0.9614333333333334,0.9625,0.9575
