dataset,model,raw_acc,raw_tvd,raw_rsd,cc_acc,cc_tvd,cc_rsd,bc_acc,bc_tvd,bc_rsd,rb_acc,rb_tvd,rb_rsd
EWOK,Falcon3-10B-Base,0.7758,0.1158,0.1493,+0.0067,-0.0850,-0.1099,+0.0083,-0.1067,-0.1376,+0.0058,-0.0992,-0.1280
EWOK,Falcon3-10B-Instruct,0.7917,0.0283,0.0358,+0.0075,-0.0008,-0.0014,+0.0042,-0.0225,-0.0285,+0.0008,-0.0075,-0.0095
EWOK,Llama-3.1-8B,0.6750,0.2967,0.4395,+0.0467,-0.2750,-0.4095,+0.0358,-0.1925,-0.2930,+0.0333,-0.2217,-0.3336
EWOK,Llama-3.1-8B-Instruct,0.7542,0.1275,0.1691,-0.0017,-0.1117,-0.1480,-0.0133,-0.0150,-0.0172,-0.0100,-0.0667,-0.0873
EWOK,Llama-3.1-70B,0.8642,0.0525,0.0608,-0.0033,+0.0283,+0.0331,+0.0067,-0.0517,-0.0598,+0.0092,-0.0292,-0.0340
EWOK,Llama-3.1-70B-Instruct,0.8767,0.0483,0.0551,+0.0017,-0.0083,-0.0096,-0.0008,-0.0458,-0.0523,+0.0025,-0.0325,-0.0371
EWOK,gemma-3-27b-pt,0.7908,0.0125,0.0158,-0.0033,+0.0217,+0.0276,-0.0058,+0.0158,+0.0203,+0.0000,+0.0000,+0.0000
EWOK,gemma-3-27b-it,0.8083,0.0617,0.0763,+0.0000,-0.0117,-0.0144,+0.0025,-0.0192,-0.0239,+0.0000,-0.0117,-0.0144
EWOK,gemma-3-12b-pt,0.7908,0.0825,0.1043,+0.0008,-0.0508,-0.0643,-0.0033,-0.0817,-0.1033,-0.0017,-0.0517,-0.0652
EWOK,gemma-3-12b-it,0.7808,0.0675,0.0864,-0.0008,-0.0175,-0.0223,-0.0017,-0.0200,-0.0255,-0.0017,-0.0100,-0.0126
SNLI,Falcon3-3B-Base,0.5550,0.3458,0.5460,+0.0608,-0.0350,+0.1430,+0.0875,-0.0917,+0.0209,+0.0967,-0.0692,+0.0420
SNLI,Falcon3-3B-Instruct,0.8183,0.0133,0.0715,-0.0008,-0.0033,-0.0012,-0.0183,+0.1058,+0.1504,-0.0283,+0.1267,+0.1870
SNLI,Falcon3-10B-Base,0.7342,0.2133,0.3094,+0.0483,-0.1358,-0.1138,+0.0592,-0.1483,-0.1785,+0.0592,-0.1442,-0.1764
SNLI,Falcon3-10B-Instruct,0.8675,0.1000,0.0861,+0.0375,-0.0833,-0.0801,+0.0258,-0.0483,-0.0528,+0.0275,-0.0467,-0.0503
SNLI,Llama-3.1-8B,0.4925,0.3333,0.7297,+0.1092,-0.0300,-0.0222,+0.0350,-0.1417,-0.1593,+0.0308,-0.1358,-0.1418
SNLI,Llama-3.1-8B-Instruct,0.5317,0.3067,0.6358,-0.0008,-0.0792,-0.0404,+0.0058,-0.0675,-0.0763,+0.0083,-0.0767,-0.0801
SNLI,Llama-3.1-70B,0.6567,0.2583,0.4652,+0.0783,-0.1375,-0.2495,+0.0533,-0.1200,-0.2097,+0.0550,-0.1150,-0.2027
SNLI,Llama-3.1-70B-Instruct,0.8275,0.0842,0.0868,-0.0550,+0.0742,+0.2208,-0.0267,+0.0217,+0.0851,-0.0300,+0.0300,+0.0963
SNLI,gemma-3-27b-pt,0.4192,0.5733,0.9881,+0.1975,-0.3075,-0.5103,+0.2250,-0.4983,-0.7394,+0.2275,-0.5300,-0.7448
SNLI,gemma-3-27b-it,0.6667,0.3117,0.4763,+0.1175,-0.1858,-0.2848,+0.0950,-0.1400,-0.2239,+0.0867,-0.1358,-0.2149
SNLI,gemma-3-12b-pt,0.7525,0.1025,0.0975,-0.0067,-0.0692,+0.0153,-0.0300,+0.0367,+0.2159,-0.0242,+0.0525,+0.2360
SNLI,gemma-3-12b-it,0.7533,0.1842,0.2644,+0.0225,-0.1108,-0.0781,+0.0367,-0.0567,-0.0898,+0.0308,-0.0517,-0.0802
MNLI,Falcon3-3B-Base,0.6108,0.3025,0.3230,-0.0275,+0.0267,+0.3812,+0.0242,-0.1075,+0.0976,+0.0500,-0.1708,-0.0224
MNLI,Falcon3-3B-Instruct,0.7425,0.0892,0.1997,+0.0025,+0.0025,+0.0011,-0.0208,+0.0417,+0.0725,-0.0200,+0.0708,+0.1141
MNLI,Falcon3-10B-Base,0.7975,0.0850,0.0773,-0.0950,+0.1767,+0.4337,+0.0042,+0.0200,+0.1075,+0.0108,+0.0150,+0.0975
MNLI,Falcon3-10B-Instruct,0.8425,0.0542,0.0256,-0.0117,+0.0267,+0.1155,+0.0042,-0.0317,+0.0112,+0.0050,-0.0317,+0.0190
MNLI,Llama-3.1-8B,0.4917,0.3317,0.7095,+0.0950,+0.0008,+0.0105,+0.0900,-0.1275,-0.2751,+0.0958,-0.1358,-0.2841
MNLI,Llama-3.1-8B-Instruct,0.6233,0.1992,0.2754,+0.0092,+0.0033,+0.1991,+0.0342,-0.0583,-0.0154,+0.0258,-0.0592,-0.0074
MNLI,Llama-3.1-70B,0.7150,0.1633,0.2149,+0.0317,-0.0000,+0.1190,+0.0425,-0.0300,+0.0092,+0.0483,-0.0275,+0.0121
MNLI,Llama-3.1-70B-Instruct,0.8292,0.0317,0.0848,-0.1325,+0.2325,+0.4234,-0.0242,+0.0592,+0.0877,-0.0258,+0.0658,+0.0997
MNLI,gemma-3-27b-pt,0.5150,0.4667,0.6552,+0.2092,-0.3800,-0.4746,+0.2067,-0.3833,-0.5172,+0.2092,-0.4025,-0.5125
MNLI,gemma-3-27b-it,0.7692,0.1883,0.1611,+0.0208,-0.0367,+0.1120,+0.0400,-0.0733,-0.0798,+0.0408,-0.0675,-0.0700
MNLI,gemma-3-12b-pt,0.7017,0.0750,0.1941,-0.1000,+0.1633,+0.2809,-0.0292,+0.0650,+0.1801,-0.0183,+0.0700,+0.1710
MNLI,gemma-3-12b-it,0.8042,0.0675,0.0191,-0.1408,+0.2192,+0.5648,+0.0050,-0.0225,-0.0047,+0.0033,-0.0225,-0.0075
MMLU-HUMANITIES,Falcon3-3B-Base,0.5692,0.0900,0.1455,-0.0058,-0.0067,-0.0146,-0.0025,-0.0408,-0.0618,-0.0042,-0.0475,-0.0603
MMLU-HUMANITIES,Falcon3-3B-Instruct,0.5783,0.0367,0.0259,+0.0050,-0.0033,+0.0143,-0.0008,-0.0083,+0.0013,-0.0083,-0.0050,-0.0150
MMLU-HUMANITIES,Falcon3-10B-Base,0.7225,0.0333,0.0381,-0.0033,+0.0242,+0.0423,+0.0050,+0.0117,+0.0294,+0.0050,+0.0000,+0.0148
MMLU-HUMANITIES,Falcon3-10B-Instruct,0.7225,0.0283,0.0572,-0.0042,-0.0125,-0.0175,+0.0017,-0.0117,-0.0122,-0.0050,-0.0175,-0.0115
MMLU-HUMANITIES,Llama-3.1-8B,0.6458,0.0808,0.0933,-0.1308,+0.3517,+0.4237,+0.0000,+0.0158,+0.0403,+0.0000,-0.0050,+0.0136
MMLU-HUMANITIES,Llama-3.1-8B-Instruct,0.6875,0.0267,0.0593,-0.0033,+0.0817,+0.0922,+0.0075,-0.0175,-0.0133,+0.0050,-0.0092,-0.0229
MMLU-HUMANITIES,Llama-3.1-70B,0.7558,0.0550,0.0671,-0.0275,+0.0925,+0.0803,-0.0025,+0.0008,-0.0024,-0.0008,-0.0058,+0.0017
MMLU-HUMANITIES,Llama-3.1-70B-Instruct,0.8150,0.0392,0.0437,-0.0025,-0.0183,-0.0041,-0.0017,-0.0067,+0.0077,-0.0100,-0.0133,+0.0022
