dataset,model,raw_acc,raw_tvd,raw_rsd,cc_acc,cc_tvd,cc_rsd,bc_acc,bc_tvd,bc_rsd,rb_acc,rb_tvd,rb_rsd
ARITH,Falcon3-3B-Base,0.8225,0.1758,0.2138,-0.1317,+0.1100,+0.2000,+0.0275,-0.1225,-0.1510,+0.0283,-0.0817,-0.1031
ARITH,Falcon3-3B-Instruct,0.8258,0.0308,0.0373,+0.0042,-0.0175,-0.0213,-0.0075,-0.0242,-0.0292,+0.0008,-0.0225,-0.0273
ARITH,Falcon3-10B-Base,0.8750,0.0567,0.0648,-0.0100,+0.0267,+0.0316,+0.0133,-0.0500,-0.0573,+0.0142,-0.0442,-0.0507
ARITH,Falcon3-10B-Instruct,0.8983,0.0033,0.0037,+0.0017,+0.0067,+0.0074,+0.0025,+0.0242,+0.0268,+0.0042,+0.0258,+0.0286
ARITH,Llama-3.1-8B,0.7575,0.1392,0.1837,-0.0133,+0.0517,+0.0727,+0.0475,-0.1342,-0.1775,+0.0342,-0.1075,-0.1437
ARITH,Llama-3.1-8B-Instruct,0.7733,0.1083,0.1401,-0.0983,+0.1783,+0.2846,+0.0275,-0.0992,-0.1286,+0.0350,-0.0817,-0.1071
ARITH,Llama-3.1-70B,0.8725,0.1275,0.1461,+0.0758,-0.0858,-0.1022,+0.0658,-0.0808,-0.0964,+0.0558,-0.0642,-0.0779
ARITH,Llama-3.1-70B-Instruct,0.9708,0.0042,0.0043,+0.0025,+0.0025,+0.0026,-0.0008,-0.0008,-0.0009,+0.0000,-0.0017,-0.0017
ARITH,gemma-3-27b-pt,0.8975,0.0342,0.0381,-0.0900,+0.1383,+0.1756,-0.0067,+0.0150,+0.0171,-0.0008,+0.0008,+0.0010
ARITH,gemma-3-27b-it,0.9542,0.0158,0.0166,-0.0033,+0.0033,+0.0036,+0.0008,-0.0058,-0.0061,+0.0008,-0.0042,-0.0044
ARITH,gemma-3-12b-pt,0.9058,0.0058,0.0064,-0.1250,+0.1833,+0.2358,-0.0142,-0.0025,-0.0027,+0.0000,+0.0000,+0.0000
ARITH,gemma-3-12b-it,0.8492,0.0442,0.0520,-0.0033,+0.0117,+0.0140,-0.0025,+0.0142,+0.0169,-0.0025,+0.0058,+0.0070
BABI,Falcon3-3B-Base,0.7142,0.2858,0.4002,+0.0550,-0.0583,-0.1045,+0.1358,-0.2175,-0.3198,+0.1392,-0.2125,-0.3143
BABI,Falcon3-3B-Instruct,0.8200,0.1300,0.1585,+0.0200,-0.0400,-0.0514,+0.0133,-0.0267,-0.0345,+0.0108,-0.0175,-0.0231
BABI,Falcon3-10B-Base,0.8967,0.0650,0.0725,-0.0025,+0.0142,+0.0160,+0.0025,-0.0525,-0.0586,+0.0100,-0.0400,-0.0449
BABI,Falcon3-10B-Instruct,0.9183,0.0267,0.0290,-0.0067,+0.0183,+0.0203,+0.0008,-0.0175,-0.0191,+0.0075,-0.0242,-0.0263
BABI,Llama-3.1-8B,0.8292,0.1558,0.1879,-0.1492,+0.1642,+0.2826,+0.0308,-0.1392,-0.1686,+0.0325,-0.1425,-0.1725
BABI,Llama-3.1-8B-Instruct,0.8567,0.1200,0.1401,-0.1167,+0.1400,+0.2113,+0.0150,-0.1100,-0.1286,+0.0167,-0.1117,-0.1305
BABI,Llama-3.1-70B,0.9083,0.0350,0.0385,+0.0167,+0.0117,+0.0119,+0.0158,-0.0342,-0.0376,+0.0192,-0.0342,-0.0376
BABI,Llama-3.1-70B-Instruct,0.9225,0.0192,0.0208,-0.0025,+0.0075,+0.0082,-0.0025,-0.0142,-0.0153,+0.0042,-0.0125,-0.0136
BABI,gemma-3-27b-pt,0.8133,0.1817,0.2234,+0.0900,-0.1417,-0.1791,+0.0808,-0.1575,-0.1963,+0.0858,-0.1508,-0.1891
BABI,gemma-3-27b-it,0.9300,0.0467,0.0502,-0.0008,+0.0058,+0.0063,+0.0008,-0.0008,-0.0009,+0.0008,-0.0025,-0.0027
BABI,gemma-3-12b-pt,0.8967,0.0317,0.0353,-0.0517,+0.1117,+0.1343,-0.0067,-0.0233,-0.0260,-0.0008,-0.0158,-0.0176
BABI,gemma-3-12b-it,0.9175,0.0342,0.0372,-0.0025,+0.0075,+0.0083,-0.0017,+0.0017,+0.0019,-0.0008,+0.0042,+0.0046
COMPS,Falcon3-3B-Base,0.5542,0.4458,0.8045,+0.2467,-0.4183,-0.7702,+0.2467,-0.4200,-0.7723,+0.2467,-0.4217,-0.7743
COMPS,Falcon3-3B-Instruct,0.8008,0.0708,0.0884,-0.0308,+0.0658,+0.0890,+0.0025,-0.0342,-0.0428,+0.0058,-0.0375,-0.0471
COMPS,Falcon3-10B-Base,0.8025,0.1492,0.1859,+0.0233,-0.0383,-0.0517,+0.0658,-0.1292,-0.1628,+0.0708,-0.1158,-0.1477
COMPS,Falcon3-10B-Instruct,0.8150,0.0917,0.1125,-0.0133,+0.0267,+0.0351,+0.0267,-0.0783,-0.0966,+0.0317,-0.0917,-0.1125
COMPS,Llama-3.1-8B,0.7467,0.2000,0.2679,-0.0475,+0.0875,+0.1433,+0.0883,-0.1817,-0.2459,+0.0933,-0.1817,-0.2460
COMPS,Llama-3.1-8B-Instruct,0.8500,0.0400,0.0471,-0.0442,+0.1042,+0.1318,+0.0083,-0.0383,-0.0451,+0.0058,-0.0342,-0.0402
COMPS,Llama-3.1-70B,0.8200,0.1583,0.1931,+0.0542,-0.0692,-0.0911,+0.0825,-0.1508,-0.1848,+0.0850,-0.1567,-0.1912
COMPS,Llama-3.1-70B-Instruct,0.8900,0.0283,0.0318,+0.0000,-0.0200,-0.0225,-0.0075,-0.0258,-0.0290,+0.0000,-0.0250,-0.0281
COMPS,gemma-3-27b-pt,0.7783,0.1833,0.2355,+0.0883,-0.1783,-0.2298,+0.0858,-0.1742,-0.2249,+0.0883,-0.1767,-0.2279
COMPS,gemma-3-27b-it,0.8508,0.0908,0.1068,+0.0100,-0.0117,-0.0148,+0.0183,-0.0267,-0.0329,+0.0242,-0.0292,-0.0363
COMPS,gemma-3-12b-pt,0.8342,0.1058,0.1269,+0.0000,+0.0167,+0.0200,+0.0358,-0.0708,-0.0866,+0.0425,-0.0775,-0.0946
COMPS,gemma-3-12b-it,0.8783,0.0367,0.0417,+0.0033,-0.0067,-0.0077,+0.0008,-0.0175,-0.0199,+0.0058,-0.0158,-0.0182
EWOK,Falcon3-3B-Base,0.5725,0.4058,0.7089,+0.0208,-0.0308,-0.0769,+0.0533,-0.3867,-0.6783,+0.0592,-0.3458,-0.6139
EWOK,Falcon3-3B-Instruct,0.6917,0.1100,0.1590,+0.0125,-0.0925,-0.1342,+0.0067,-0.0783,-0.1137,+0.0125,-0.0625,-0.0916
