dataset,model,raw_acc,raw_tvd,raw_rsd,cc_acc,cc_tvd,cc_rsd,bc_acc,bc_tvd,bc_rsd,rb_acc,rb_tvd,rb_rsd
ARITH,Falcon3-3B-Base,0.8225,0.1758,0.2138,-0.1317,+0.1100,+0.2000,+0.0175,-0.1342,-0.1642,+0.0267,-0.1267,-0.1559
ARITH,Falcon3-3B-Instruct,0.8258,0.0308,0.0373,+0.0042,-0.0175,-0.0213,-0.0108,-0.0208,-0.0251,-0.0008,-0.0242,-0.0293
ARITH,Falcon3-10B-Base,0.8750,0.0567,0.0648,-0.0100,+0.0267,+0.0316,+0.0142,-0.0542,-0.0620,+0.0133,-0.0450,-0.0516
ARITH,Falcon3-10B-Instruct,0.8983,0.0033,0.0037,+0.0017,+0.0067,+0.0074,+0.0042,+0.0225,+0.0249,+0.0050,+0.0267,+0.0295
ARITH,Llama-3.1-8B,0.7575,0.1392,0.1837,-0.0133,+0.0517,+0.0727,+0.0358,-0.1342,-0.1774,+0.0417,-0.1283,-0.1702
ARITH,Llama-3.1-8B-Instruct,0.7733,0.1083,0.1401,-0.0983,+0.1783,+0.2846,+0.0192,-0.1058,-0.1369,+0.0342,-0.1075,-0.1391
ARITH,Llama-3.1-70B,0.8725,0.1275,0.1461,+0.0758,-0.0858,-0.1022,+0.0575,-0.0792,-0.0942,+0.0600,-0.0683,-0.0827
ARITH,Llama-3.1-70B-Instruct,0.9708,0.0042,0.0043,+0.0025,+0.0025,+0.0026,+0.0000,+0.0017,+0.0017,+0.0000,+0.0000,+0.0000
ARITH,gemma-3-27b-pt,0.8975,0.0342,0.0381,-0.0900,+0.1383,+0.1756,-0.0233,+0.0217,+0.0258,-0.0017,+0.0183,+0.0205
ARITH,gemma-3-27b-it,0.9542,0.0158,0.0166,-0.0033,+0.0033,+0.0036,-0.0017,+0.0000,+0.0000,+0.0008,-0.0025,-0.0026
ARITH,gemma-3-12b-pt,0.9058,0.0058,0.0064,-0.1250,+0.1833,+0.2358,-0.0117,+0.0000,+0.0001,+0.0000,+0.0000,+0.0000
ARITH,gemma-3-12b-it,0.8492,0.0442,0.0520,-0.0033,+0.0117,+0.0140,+0.0025,+0.0108,+0.0126,-0.0025,+0.0075,+0.0090
BABI,Falcon3-3B-Base,0.7142,0.2858,0.4002,+0.0550,-0.0583,-0.1045,+0.1367,-0.2133,-0.3150,+0.1358,-0.2025,-0.3022
BABI,Falcon3-3B-Instruct,0.8200,0.1300,0.1585,+0.0200,-0.0400,-0.0514,+0.0083,-0.0233,-0.0298,+0.0125,-0.0242,-0.0314
BABI,Falcon3-10B-Base,0.8967,0.0650,0.0725,-0.0025,+0.0142,+0.0160,-0.0167,-0.0483,-0.0536,+0.0075,-0.0425,-0.0476
BABI,Falcon3-10B-Instruct,0.9183,0.0267,0.0290,-0.0067,+0.0183,+0.0203,-0.0050,-0.0250,-0.0272,+0.0092,-0.0258,-0.0281
BABI,Llama-3.1-8B,0.8292,0.1558,0.1879,-0.1492,+0.1642,+0.2826,+0.0158,-0.1408,-0.1702,+0.0325,-0.1458,-0.1763
BABI,Llama-3.1-8B-Instruct,0.8567,0.1200,0.1401,-0.1167,+0.1400,+0.2113,+0.0075,-0.1175,-0.1372,+0.0150,-0.1133,-0.1324
BABI,Llama-3.1-70B,0.9083,0.0350,0.0385,+0.0167,+0.0117,+0.0119,+0.0133,-0.0317,-0.0349,+0.0192,-0.0342,-0.0376
BABI,Llama-3.1-70B-Instruct,0.9225,0.0192,0.0208,-0.0025,+0.0075,+0.0082,-0.0025,-0.0092,-0.0099,+0.0042,-0.0125,-0.0136
BABI,gemma-3-27b-pt,0.8133,0.1817,0.2234,+0.0900,-0.1417,-0.1791,+0.0792,-0.1592,-0.1982,+0.0858,-0.1508,-0.1891
BABI,gemma-3-27b-it,0.9300,0.0467,0.0502,-0.0008,+0.0058,+0.0063,-0.0017,-0.0050,-0.0053,+0.0017,-0.0033,-0.0037
BABI,gemma-3-12b-pt,0.8967,0.0317,0.0353,-0.0517,+0.1117,+0.1343,-0.0117,-0.0267,-0.0297,+0.0000,-0.0150,-0.0167
BABI,gemma-3-12b-it,0.9175,0.0342,0.0372,-0.0025,+0.0075,+0.0083,-0.0067,+0.0050,+0.0058,-0.0008,+0.0042,+0.0046
COMPS,Falcon3-3B-Base,0.5542,0.4458,0.8045,+0.2467,-0.4183,-0.7702,+0.2508,-0.4242,-0.7776,+0.2467,-0.4183,-0.7702
COMPS,Falcon3-3B-Instruct,0.8008,0.0708,0.0884,-0.0308,+0.0658,+0.0890,-0.0008,-0.0342,-0.0426,+0.0058,-0.0392,-0.0492
COMPS,Falcon3-10B-Base,0.8025,0.1492,0.1859,+0.0233,-0.0383,-0.0517,+0.0575,-0.1325,-0.1665,+0.0717,-0.1250,-0.1582
COMPS,Falcon3-10B-Instruct,0.8150,0.0917,0.1125,-0.0133,+0.0267,+0.0351,+0.0150,-0.0650,-0.0803,+0.0250,-0.0783,-0.0966
COMPS,Llama-3.1-8B,0.7467,0.2000,0.2679,-0.0475,+0.0875,+0.1433,+0.0750,-0.1850,-0.2496,+0.0942,-0.1792,-0.2431
COMPS,Llama-3.1-8B-Instruct,0.8500,0.0400,0.0471,-0.0442,+0.1042,+0.1318,-0.0142,-0.0258,-0.0301,+0.0058,-0.0342,-0.0402
COMPS,Llama-3.1-70B,0.8200,0.1583,0.1931,+0.0542,-0.0692,-0.0911,+0.0683,-0.1550,-0.1893,+0.0775,-0.1475,-0.1810
COMPS,Llama-3.1-70B-Instruct,0.8900,0.0283,0.0318,+0.0000,-0.0200,-0.0225,-0.0125,-0.0258,-0.0290,-0.0025,-0.0225,-0.0253
COMPS,gemma-3-27b-pt,0.7783,0.1833,0.2355,+0.0883,-0.1783,-0.2298,+0.0833,-0.1817,-0.2336,+0.0892,-0.1825,-0.2346
COMPS,gemma-3-27b-it,0.8508,0.0908,0.1068,+0.0100,-0.0117,-0.0148,+0.0175,-0.0292,-0.0357,+0.0208,-0.0258,-0.0322
COMPS,gemma-3-12b-pt,0.8342,0.1058,0.1269,+0.0000,+0.0167,+0.0200,+0.0292,-0.0842,-0.1018,+0.0425,-0.0775,-0.0946
COMPS,gemma-3-12b-it,0.8783,0.0367,0.0417,+0.0033,-0.0067,-0.0077,+0.0017,-0.0150,-0.0171,+0.0058,-0.0158,-0.0182
EWOK,Falcon3-3B-Base,0.5725,0.4058,0.7089,+0.0208,-0.0308,-0.0769,+0.0567,-0.3833,-0.6731,+0.0633,-0.4033,-0.7049
EWOK,Falcon3-3B-Instruct,0.6917,0.1100,0.1590,+0.0125,-0.0925,-0.1342,-0.0008,-0.0725,-0.1048,+0.0117,-0.0717,-0.1045
EWOK,Falcon3-10B-Base,0.7483,0.0383,0.0512,-0.0108,+0.0642,+0.0878,-0.0175,+0.0125,+0.0183,-0.0042,+0.0242,+0.0328
EWOK,Falcon3-10B-Instruct,0.7400,0.0217,0.0293,-0.0033,+0.0317,+0.0431,-0.0050,-0.0100,-0.0134,+0.0025,-0.0142,-0.0192
EWOK,Llama-3.1-8B,0.6458,0.2492,0.3858,-0.0800,+0.1783,+0.3697,+0.0150,-0.2000,-0.3114,+0.0183,-0.2000,-0.3118
EWOK,Llama-3.1-8B-Instruct,0.7150,0.1133,0.1585,-0.1458,+0.3042,+0.5750,+0.0000,-0.0583,-0.0816,+0.0183,-0.0700,-0.0994
EWOK,Llama-3.1-70B,0.8092,0.0958,0.1184,-0.0475,+0.0942,+0.1310,-0.0075,-0.0925,-0.1143,+0.0150,-0.0867,-0.1073
EWOK,Llama-3.1-70B-Instruct,0.8425,0.0508,0.0603,-0.0042,+0.0342,+0.0411,-0.0017,-0.0500,-0.0593,+0.0033,-0.0483,-0.0574
EWOK,gemma-3-27b-pt,0.6208,0.3608,0.5812,+0.1117,-0.2833,-0.4754,+0.0975,-0.3525,-0.5696,+0.1050,-0.3567,-0.5755
