metric,direction,comparison,mean_diff,t_stat,p_value,significance,n_pairs
Accuracy,higher is better,RB vs Baseline,+0.0146,+3.6750,0.0004,***,120
Accuracy,higher is better,BC vs Baseline,+0.0137,+3.4290,0.0008,***,120
Accuracy,higher is better,CC vs Baseline,-0.0033,-0.6672,0.5060,,120
Accuracy,higher is better,RB vs BC,+0.0010,+2.4957,0.0139,*,120
Accuracy,higher is better,RB vs CC,+0.0179,+5.2359,7.17e-07,***,120
Accuracy,higher is better,BC vs CC,+0.0169,+5.0414,1.67e-06,***,120
TVD,lower is better,RB vs Baseline,-0.0347,-4.9950,2.04e-06,***,120
TVD,lower is better,BC vs Baseline,-0.0367,-5.1668,9.70e-07,***,120
TVD,lower is better,CC vs Baseline,+0.0193,+1.8422,0.0679,,120
TVD,lower is better,RB vs BC,+0.0020,+3.6924,0.0003,***,120
TVD,lower is better,RB vs CC,-0.0540,-6.4473,2.54e-09,***,120
TVD,lower is better,BC vs CC,-0.0560,-6.7645,5.31e-10,***,120
RSD,lower is better,RB vs Baseline,-0.0393,-3.5675,0.0005,***,120
RSD,lower is better,BC vs Baseline,-0.0417,-3.7508,0.0003,***,120
RSD,lower is better,CC vs Baseline,+0.0361,+2.3650,0.0196,*,120
RSD,lower is better,RB vs BC,+0.0024,+3.2413,0.0015,**,120
RSD,lower is better,RB vs CC,-0.0754,-6.3996,3.21e-09,***,120
RSD,lower is better,BC vs CC,-0.0778,-6.6473,9.51e-10,***,120
