metric,direction,comparison,mean_diff,t_stat,p_value,significance,n_pairs
Accuracy,higher is better,RB vs Baseline,+0.0140,+3.5707,0.0005,***,120
Accuracy,higher is better,BC vs Baseline,+0.0137,+3.4290,0.0008,***,120
Accuracy,higher is better,CC vs Baseline,-0.0033,-0.6672,0.5060,,120
Accuracy,higher is better,RB vs BC,+0.0004,+0.5824,0.5614,,120
Accuracy,higher is better,RB vs CC,+0.0173,+5.1662,9.73e-07,***,120
TVD,lower is better,RB vs Baseline,-0.0342,-4.8570,3.67e-06,***,120
TVD,lower is better,BC vs Baseline,-0.0367,-5.1668,9.70e-07,***,120
TVD,lower is better,CC vs Baseline,+0.0193,+1.8422,0.0679,,120
TVD,lower is better,RB vs BC,+0.0025,+1.7784,0.0779,,120
TVD,lower is better,RB vs CC,-0.0535,-6.3693,3.72e-09,***,120
RSD,lower is better,RB vs Baseline,-0.0388,-3.5638,0.0005,***,120
RSD,lower is better,BC vs Baseline,-0.0417,-3.7508,0.0003,***,120
RSD,lower is better,CC vs Baseline,+0.0361,+2.3650,0.0196,*,120
RSD,lower is better,RB vs BC,+0.0029,+1.4543,0.1485,,120
RSD,lower is better,RB vs CC,-0.0749,-6.3036,5.12e-09,***,120
