dataset,model,raw_acc,raw_tvd,raw_rsd,cc_acc,cc_tvd,cc_rsd,bc_acc,bc_tvd,bc_rsd,rb_acc,rb_tvd,rb_rsd
ARITH,Falcon3-3B-Base,0.8158,0.0625,0.0766,-0.3158,+0.4375,+0.9234,-0.0108,-0.0242,-0.0290,-0.0017,-0.0183,-0.0224
ARITH,Falcon3-3B-Instruct,0.7908,0.0342,0.0432,-0.1017,+0.2717,+0.4006,+0.0133,-0.0117,-0.0152,+0.0258,-0.0108,-0.0146
ARITH,Falcon3-10B-Base,0.8442,0.1075,0.1273,-0.3442,+0.3925,+0.8727,-0.0067,-0.0700,-0.0826,+0.0050,-0.0550,-0.0655
ARITH,Falcon3-10B-Instruct,0.8283,0.1533,0.1851,-0.3283,+0.3467,+0.8149,+0.0308,-0.1042,-0.1279,+0.0417,-0.0933,-0.1161
ARITH,Llama-3.1-8B,0.7017,0.2000,0.2850,-0.2017,+0.3000,+0.7150,+0.0625,-0.1725,-0.2490,+0.0708,-0.1875,-0.2689
ARITH,Llama-3.1-8B-Instruct,0.7158,0.2642,0.3690,+0.1208,-0.2275,-0.3252,+0.1025,-0.1992,-0.2896,+0.1058,-0.2008,-0.2920
ARITH,Llama-3.1-70B,0.9333,0.0050,0.0054,-0.3783,+0.4400,+0.7964,-0.0058,+0.0058,+0.0063,-0.0017,-0.0017,-0.0018
ARITH,Llama-3.1-70B-Instruct,0.6808,0.3158,0.4639,+0.1975,-0.2675,-0.4089,+0.1792,-0.2608,-0.3999,+0.1967,-0.2650,-0.4060
ARITH,gemma-3-27b-pt,0.8858,0.0892,0.1007,-0.0658,+0.0825,+0.1087,+0.0133,-0.0883,-0.0997,+0.0292,-0.0775,-0.0879
ARITH,gemma-3-27b-it,0.9775,0.0058,0.0060,+0.0000,-0.0050,-0.0051,-0.0067,-0.0033,-0.0034,+0.0000,-0.0050,-0.0051
ARITH,gemma-3-12b-pt,0.7908,0.1692,0.2139,+0.0075,+0.0092,+0.0095,+0.0492,-0.1658,-0.2099,+0.0617,-0.1617,-0.2051
ARITH,gemma-3-12b-it,0.8058,0.1858,0.2306,+0.0550,-0.0883,-0.1173,+0.0617,-0.1183,-0.1528,+0.0650,-0.1050,-0.1378
BABI,Falcon3-3B-Base,0.7708,0.1842,0.2389,-0.2708,+0.3158,+0.7611,+0.0567,-0.1500,-0.1976,+0.0650,-0.1567,-0.2060
BABI,Falcon3-3B-Instruct,0.7867,0.2033,0.2585,-0.0258,-0.0625,-0.0734,+0.0400,-0.1967,-0.2504,+0.0458,-0.1892,-0.2415
BABI,Falcon3-10B-Base,0.8667,0.0733,0.0846,-0.3667,+0.4267,+0.9154,+0.0342,-0.0725,-0.0837,+0.0433,-0.0667,-0.0773
BABI,Falcon3-10B-Instruct,0.8950,0.0433,0.0484,-0.3117,+0.3633,+0.6487,-0.0008,-0.0175,-0.0195,+0.0108,-0.0192,-0.0217
BABI,Llama-3.1-8B,0.8042,0.0825,0.1026,-0.3042,+0.4175,+0.8974,-0.0042,-0.0642,-0.0797,-0.0075,-0.0625,-0.0775
BABI,Llama-3.1-8B-Instruct,0.8358,0.1108,0.1326,+0.0058,-0.0808,-0.0970,+0.0133,-0.1067,-0.1277,+0.0167,-0.1100,-0.1316
BABI,Llama-3.1-70B,0.8500,0.0683,0.0804,-0.1658,+0.2392,+0.3691,+0.0075,-0.0225,-0.0269,+0.0042,-0.0158,-0.0189
BABI,Llama-3.1-70B-Instruct,0.9267,0.0317,0.0342,-0.0550,+0.0383,+0.0461,-0.0233,-0.0083,-0.0083,-0.0150,-0.0100,-0.0104
BABI,gemma-3-27b-pt,0.8342,0.1208,0.1449,-0.1050,+0.1350,+0.2060,+0.0175,-0.1125,-0.1351,+0.0225,-0.1008,-0.1215
BABI,gemma-3-27b-it,0.9067,0.0100,0.0110,-0.0042,-0.0058,-0.0064,+0.0017,+0.0200,+0.0220,+0.0092,+0.0192,+0.0208
BABI,gemma-3-12b-pt,0.7642,0.2042,0.2672,-0.0183,-0.0067,-0.0024,+0.0508,-0.1558,-0.2079,+0.0733,-0.1750,-0.2323
BABI,gemma-3-12b-it,0.9058,0.0858,0.0948,+0.0225,-0.0625,-0.0696,+0.0167,-0.0550,-0.0613,+0.0242,-0.0525,-0.0589
COMPS,Falcon3-3B-Base,0.6275,0.3175,0.5060,-0.1275,+0.1825,+0.4940,+0.0358,-0.3058,-0.4884,+0.0500,-0.3150,-0.5023
COMPS,Falcon3-3B-Instruct,0.6950,0.0733,0.1055,-0.1508,+0.3692,+0.7077,+0.0100,-0.0700,-0.1008,+0.0067,-0.0700,-0.1008
COMPS,Falcon3-10B-Base,0.7533,0.1600,0.2124,-0.2533,+0.3400,+0.7876,+0.0150,-0.1483,-0.1972,+0.0183,-0.1433,-0.1908
COMPS,Falcon3-10B-Instruct,0.7583,0.1550,0.2044,-0.2508,+0.3358,+0.7628,+0.0233,-0.1467,-0.1937,+0.0342,-0.1542,-0.2033
COMPS,Llama-3.1-8B,0.6517,0.1850,0.2839,-0.1417,+0.3033,+0.6736,-0.0475,-0.1808,-0.2770,-0.0358,-0.1692,-0.2582
COMPS,Llama-3.1-8B-Instruct,0.7017,0.0550,0.0784,-0.0083,+0.1300,+0.1884,-0.0183,-0.0450,-0.0638,-0.0100,-0.0467,-0.0663
COMPS,Llama-3.1-70B,0.7050,0.1050,0.1489,-0.0950,+0.2633,+0.4549,-0.0108,-0.0775,-0.1093,-0.0008,-0.0792,-0.1122
COMPS,Llama-3.1-70B-Instruct,0.7775,0.0342,0.0439,-0.1192,+0.2825,+0.4371,-0.0058,-0.0308,-0.0396,-0.0100,-0.0283,-0.0363
COMPS,gemma-3-27b-pt,0.6317,0.3300,0.5224,-0.0508,+0.0725,+0.1705,+0.0283,-0.3217,-0.5098,+0.0475,-0.3142,-0.4991
COMPS,gemma-3-27b-it,0.7650,0.1467,0.1917,-0.0150,+0.0317,+0.0461,+0.0150,-0.1433,-0.1874,+0.0258,-0.1342,-0.1759
COMPS,gemma-3-12b-pt,0.6642,0.2175,0.3275,-0.0975,+0.2058,+0.4196,-0.0442,-0.2158,-0.3248,-0.0375,-0.2042,-0.3062
COMPS,gemma-3-12b-it,0.6908,0.2358,0.3414,-0.0683,+0.1100,+0.2142,+0.0500,-0.2100,-0.3065,+0.0483,-0.2167,-0.3154
EWOK,Falcon3-3B-Base,0.5600,0.3383,0.6042,-0.0600,+0.1617,+0.3958,+0.0292,-0.3242,-0.5801,+0.0317,-0.3200,-0.5732
EWOK,Falcon3-3B-Instruct,0.6167,0.1683,0.2730,-0.0708,+0.2558,+0.5041,-0.0092,-0.1458,-0.2359,+0.0100,-0.1567,-0.2544
EWOK,Falcon3-10B-Base,0.6342,0.2008,0.3167,-0.1342,+0.2992,+0.6833,+0.0267,-0.1750,-0.2776,+0.0425,-0.1708,-0.2724
EWOK,Falcon3-10B-Instruct,0.6892,0.1758,0.2551,-0.1717,+0.3067,+0.6772,+0.0292,-0.1375,-0.2018,+0.0350,-0.1300,-0.1918
EWOK,Llama-3.1-8B,0.5692,0.1942,0.3411,-0.0608,+0.2808,+0.5933,+0.0000,-0.1717,-0.3016,+0.0017,-0.1833,-0.3222
EWOK,Llama-3.1-8B-Instruct,0.5992,0.1875,0.3129,+0.0433,-0.1050,-0.1845,+0.0417,-0.1467,-0.2492,+0.0433,-0.1483,-0.2520
EWOK,Llama-3.1-70B,0.6475,0.1508,0.2329,-0.0692,+0.1875,+0.3521,+0.0033,-0.1100,-0.1702,+0.0150,-0.1100,-0.1713
EWOK,Llama-3.1-70B-Instruct,0.6642,0.2408,0.3626,+0.0142,-0.0075,-0.0186,+0.0250,-0.2250,-0.3396,+0.0400,-0.2200,-0.3330
EWOK,gemma-3-27b-pt,0.5800,0.0300,0.0517,-0.0317,+0.2067,+0.3799,-0.0042,-0.0258,-0.0445,-0.0017,-0.0200,-0.0344
EWOK,gemma-3-27b-it,0.7392,0.0958,0.1297,-0.0025,-0.0375,-0.0505,-0.0025,-0.0425,-0.0573,-0.0025,-0.0375,-0.0505
EWOK,gemma-3-12b-pt,0.5867,0.2700,0.4602,-0.0333,-0.0017,+0.0247,-0.0042,-0.2542,-0.4330,+0.0075,-0.2508,-0.4280
EWOK,gemma-3-12b-it,0.6700,0.2267,0.3383,+0.0075,-0.1942,-0.2903,+0.0033,-0.2117,-0.3160,+0.0075,-0.2042,-0.3051
SNLI,Falcon3-3B-Base,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SNLI,Falcon3-3B-Instruct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SNLI,Falcon3-10B-Base,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SNLI,Falcon3-10B-Instruct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SNLI,Llama-3.1-8B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SNLI,Llama-3.1-8B-Instruct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SNLI,Llama-3.1-70B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SNLI,Llama-3.1-70B-Instruct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SNLI,gemma-3-27b-pt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SNLI,gemma-3-27b-it,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SNLI,gemma-3-12b-pt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SNLI,gemma-3-12b-it,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNLI,Falcon3-3B-Base,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNLI,Falcon3-3B-Instruct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNLI,Falcon3-10B-Base,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNLI,Falcon3-10B-Instruct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNLI,Llama-3.1-8B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNLI,Llama-3.1-8B-Instruct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNLI,Llama-3.1-70B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNLI,Llama-3.1-70B-Instruct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNLI,gemma-3-27b-pt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNLI,gemma-3-27b-it,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNLI,gemma-3-12b-pt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNLI,gemma-3-12b-it,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MMLU-HUMANITIES,Falcon3-3B-Base,0.5025,0.2617,0.3643,-0.0092,+0.0200,+0.0047,+0.0183,-0.2025,-0.2330,+0.0292,-0.1950,-0.2235
MMLU-HUMANITIES,Falcon3-3B-Instruct,0.5725,0.0192,0.0475,-0.0258,+0.1083,+0.1966,+0.0008,+0.0175,-0.0007,+0.0008,+0.0183,+0.0096
MMLU-HUMANITIES,Falcon3-10B-Base,0.5158,0.3308,0.4255,+0.0258,-0.1892,-0.2026,+0.0425,-0.2867,-0.3400,+0.0558,-0.2875,-0.3521
MMLU-HUMANITIES,Falcon3-10B-Instruct,0.2800,0.6867,1.3961,+0.0900,-0.1683,-0.6047,+0.2083,-0.6525,-1.3047,+0.2242,-0.6467,-1.3101
MMLU-HUMANITIES,Llama-3.1-8B,0.5192,0.2608,0.4410,-0.0092,-0.0683,-0.0589,+0.0342,-0.1600,-0.2149,+0.0325,-0.1575,-0.2057
MMLU-HUMANITIES,Llama-3.1-8B-Instruct,0.6650,0.0842,0.0840,-0.0625,+0.0967,+0.2762,+0.0000,-0.0042,+0.0513,+0.0033,-0.0033,+0.0476
MMLU-HUMANITIES,Llama-3.1-70B,0.6975,0.1267,0.2071,+0.0067,+0.0275,+0.0008,+0.0200,-0.0317,-0.0733,+0.0225,-0.0300,-0.0700
MMLU-HUMANITIES,Llama-3.1-70B-Instruct,0.7725,0.0958,0.0640,+0.0200,-0.0792,-0.0160,+0.0125,-0.0250,+0.0627,+0.0117,-0.0317,+0.0516
MMLU-HUMANITIES,gemma-3-27b-pt,0.7258,0.0608,0.0397,-0.1117,+0.2275,+0.4034,+0.0033,-0.0100,+0.0047,+0.0150,-0.0025,-0.0024
MMLU-HUMANITIES,gemma-3-27b-it,0.7408,0.0608,0.0773,+0.0058,+0.0158,+0.0309,+0.0042,+0.0267,+0.0552,+0.0067,+0.0292,+0.0479
MMLU-HUMANITIES,gemma-3-12b-pt,0.7150,0.0875,0.1274,-0.0800,+0.1142,+0.2802,+0.0017,-0.0075,+0.0000,+0.0017,-0.0058,-0.0044
MMLU-HUMANITIES,gemma-3-12b-it,0.7300,0.0775,0.0921,-0.0233,+0.0358,+0.1017,-0.0050,+0.0017,+0.0235,-0.0033,+0.0008,+0.0119
MMLU-OTHERS,Falcon3-3B-Base,0.4467,0.2650,0.3997,+0.0150,+0.0025,-0.0486,+0.0242,-0.2250,-0.3105,+0.0267,-0.2267,-0.3116
MMLU-OTHERS,Falcon3-3B-Instruct,0.5383,0.0567,0.1044,-0.0175,+0.1317,+0.1746,-0.0042,-0.0133,-0.0540,+0.0008,-0.0025,-0.0475
MMLU-OTHERS,Falcon3-10B-Base,0.5458,0.2350,0.3429,-0.0183,-0.0183,-0.0238,+0.0325,-0.1958,-0.2637,+0.0375,-0.2025,-0.2791
MMLU-OTHERS,Falcon3-10B-Instruct,0.3000,0.6467,1.2705,+0.0783,-0.2283,-0.5976,+0.1508,-0.6367,-1.1967,+0.1550,-0.6425,-1.1727
MMLU-OTHERS,Llama-3.1-8B,0.4942,0.2842,0.4306,+0.0258,-0.1408,-0.2119,+0.0475,-0.2000,-0.2755,+0.0500,-0.1908,-0.2584
MMLU-OTHERS,Llama-3.1-8B-Instruct,0.6650,0.0200,0.0302,-0.0308,+0.1375,+0.2474,-0.0017,+0.0592,+0.1017,-0.0017,+0.0608,+0.1023
MMLU-OTHERS,Llama-3.1-70B,0.6867,0.1258,0.1986,+0.0083,+0.0108,-0.0303,+0.0283,-0.0375,-0.0792,+0.0233,-0.0317,-0.0814
MMLU-OTHERS,Llama-3.1-70B-Instruct,0.7592,0.0608,0.0595,-0.0042,+0.0083,+0.0488,-0.0033,+0.0125,+0.0602,-0.0075,+0.0167,+0.0675
MMLU-OTHERS,gemma-3-27b-pt,0.7208,0.0683,0.0759,-0.0642,+0.1600,+0.2452,+0.0083,-0.0317,-0.0088,+0.0033,-0.0333,-0.0178
MMLU-OTHERS,gemma-3-27b-it,0.7292,0.0400,0.0343,+0.0058,+0.0250,+0.0646,+0.0067,+0.0350,+0.0827,+0.0008,+0.0342,+0.0811
MMLU-OTHERS,gemma-3-12b-pt,0.7033,0.0600,0.0671,-0.0642,+0.1108,+0.2515,-0.0017,-0.0067,+0.0072,+0.0042,-0.0083,-0.0008
MMLU-OTHERS,gemma-3-12b-it,0.7283,0.0600,0.0532,-0.0108,+0.0292,+0.0606,+0.0017,+0.0125,+0.0195,+0.0058,+0.0092,+0.0219
MMLU-SOCIAL_SCI,Falcon3-3B-Base,0.4783,0.2583,0.3523,+0.0192,-0.0183,-0.0601,+0.0383,-0.2175,-0.2744,+0.0450,-0.2158,-0.2493
MMLU-SOCIAL_SCI,Falcon3-3B-Instruct,0.5958,0.0250,0.0320,-0.0067,+0.0883,+0.1512,+0.0017,-0.0017,+0.0011,+0.0025,+0.0008,+0.0085
MMLU-SOCIAL_SCI,Falcon3-10B-Base,0.6033,0.2217,0.2671,+0.0183,-0.0750,-0.0462,+0.0433,-0.1883,-0.1987,+0.0500,-0.1933,-0.2163
MMLU-SOCIAL_SCI,Falcon3-10B-Instruct,0.2975,0.6808,1.3355,+0.0750,-0.1458,-0.4737,+0.1708,-0.6558,-1.2625,+0.1767,-0.6508,-1.2607
MMLU-SOCIAL_SCI,Llama-3.1-8B,0.5342,0.2467,0.4108,-0.0083,-0.0742,-0.0799,+0.0275,-0.1675,-0.2342,+0.0375,-0.1625,-0.2227
MMLU-SOCIAL_SCI,Llama-3.1-8B-Instruct,0.6825,0.0550,0.0568,-0.0442,+0.1092,+0.2345,+0.0125,+0.0158,+0.0539,+0.0117,+0.0142,+0.0483
MMLU-SOCIAL_SCI,Llama-3.1-70B,0.7342,0.1525,0.2272,+0.0075,-0.0325,-0.0611,+0.0267,-0.0683,-0.1040,+0.0225,-0.0700,-0.1021
MMLU-SOCIAL_SCI,Llama-3.1-70B-Instruct,0.8042,0.0667,0.0614,+0.0150,-0.0292,-0.0141,+0.0092,-0.0008,+0.0453,+0.0125,-0.0050,+0.0344
MMLU-SOCIAL_SCI,gemma-3-27b-pt,0.7808,0.0575,0.0606,-0.0817,+0.1625,+0.2683,+0.0075,-0.0283,-0.0114,+0.0075,-0.0367,-0.0230
MMLU-SOCIAL_SCI,gemma-3-27b-it,0.7942,0.0300,0.0213,+0.0142,+0.0067,+0.0248,+0.0083,+0.0117,+0.0315,+0.0142,+0.0133,+0.0320
MMLU-SOCIAL_SCI,gemma-3-12b-pt,0.7617,0.0342,0.0576,-0.0600,+0.1192,+0.2226,-0.0125,+0.0133,+0.0211,+0.0008,+0.0158,+0.0175
MMLU-SOCIAL_SCI,gemma-3-12b-it,0.7850,0.0317,0.0330,-0.0200,+0.0458,+0.0798,-0.0067,+0.0133,+0.0342,-0.0042,+0.0133,+0.0274
MMLU-STEM,Falcon3-3B-Base,0.4067,0.2267,0.4031,-0.0158,+0.1442,+0.1662,+0.0158,-0.1708,-0.2991,+0.0075,-0.1675,-0.2972
MMLU-STEM,Falcon3-3B-Instruct,0.4867,0.0258,0.0414,-0.0200,+0.1575,+0.2224,-0.0067,+0.0442,+0.0601,-0.0075,+0.0483,+0.0534
MMLU-STEM,Falcon3-10B-Base,0.4867,0.2375,0.3643,-0.0117,-0.0300,-0.0367,+0.0217,-0.2033,-0.2715,+0.0242,-0.2108,-0.2706
MMLU-STEM,Falcon3-10B-Instruct,0.2875,0.6675,1.3595,+0.0608,-0.2308,-0.5993,+0.1058,-0.6408,-1.3042,+0.1167,-0.6400,-1.3099
MMLU-STEM,Llama-3.1-8B,0.3800,0.4533,0.7367,+0.0167,-0.3275,-0.5224,+0.0425,-0.3767,-0.5760,+0.0375,-0.3917,-0.5896
MMLU-STEM,Llama-3.1-8B-Instruct,0.4925,0.1275,0.1678,-0.0100,+0.0467,+0.1729,+0.0283,-0.0617,-0.0561,+0.0167,-0.0575,-0.0425
MMLU-STEM,Llama-3.1-70B,0.5892,0.1392,0.2608,-0.0042,+0.0125,-0.0305,+0.0050,-0.0458,-0.1240,+0.0175,-0.0475,-0.1241
