dataset,model,raw_acc,raw_tvd,raw_rsd,cc_acc,cc_tvd,cc_rsd,bc_acc,bc_tvd,bc_rsd,rb_acc,rb_tvd,rb_rsd
ARITH,Falcon3-3B-Base,0.8692,0.0842,0.0968,-0.0025,+0.0208,+0.0243,-0.0167,-0.0467,-0.0528,+0.0033,-0.0167,-0.0195
ARITH,Falcon3-3B-Instruct,0.8725,0.0908,0.1041,-0.0225,+0.0542,+0.0665,+0.0050,-0.0083,-0.0101,+0.0033,+0.0050,+0.0053
ARITH,Falcon3-10B-Base,0.8808,0.0675,0.0766,+0.0192,-0.0342,-0.0396,+0.0117,-0.0450,-0.0514,+0.0217,-0.0217,-0.0258
ARITH,Falcon3-10B-Instruct,0.9208,0.0542,0.0588,-0.0167,+0.0267,+0.0306,-0.0175,+0.0275,+0.0316,-0.0175,+0.0292,+0.0334
ARITH,Llama-3.1-8B,0.7325,0.2142,0.2924,+0.1200,-0.1817,-0.2543,+0.1192,-0.1175,-0.1789,+0.1292,-0.0942,-0.1531
ARITH,Llama-3.1-8B-Instruct,0.7883,0.1583,0.2008,+0.0308,-0.0542,-0.0737,+0.0442,-0.0858,-0.1138,+0.0542,-0.0892,-0.1187
ARITH,Llama-3.1-70B,0.9783,0.0050,0.0051,+0.0008,-0.0042,-0.0043,-0.0125,+0.0075,+0.0078,+0.0017,+0.0050,+0.0051
ARITH,Llama-3.1-70B-Instruct,0.9958,0.0025,0.0025,-0.0008,+0.0008,+0.0008,-0.0008,-0.0008,-0.0008,+0.0000,+0.0000,+0.0000
ARITH,gemma-3-27b-pt,0.9917,0.0050,0.0050,-0.0042,+0.0042,+0.0042,-0.0108,+0.0008,+0.0009,+0.0000,+0.0000,+0.0000
ARITH,gemma-3-27b-it,0.9833,0.0133,0.0136,-0.0017,+0.0033,+0.0034,-0.0008,-0.0025,-0.0025,+0.0000,+0.0000,+0.0000
ARITH,gemma-3-12b-pt,0.9133,0.0567,0.0620,+0.0000,+0.0000,+0.0000,+0.0108,-0.0458,-0.0503,+0.0200,-0.0317,-0.0353
ARITH,gemma-3-12b-it,0.9350,0.0233,0.0250,+0.0025,-0.0042,-0.0045,+0.0067,-0.0100,-0.0108,+0.0067,-0.0100,-0.0108
BABI,Falcon3-3B-Base,0.8683,0.0667,0.0768,+0.0000,+0.0000,+0.0000,-0.0167,-0.0217,-0.0239,+0.0000,+0.0000,+0.0000
BABI,Falcon3-3B-Instruct,0.8425,0.0625,0.0742,-0.0075,-0.0558,-0.0662,-0.0092,-0.0392,-0.0462,-0.0033,-0.0350,-0.0414
BABI,Falcon3-10B-Base,0.8808,0.1092,0.1239,+0.0367,-0.0450,-0.0540,+0.0233,-0.0967,-0.1101,+0.0308,-0.0942,-0.1075
BABI,Falcon3-10B-Instruct,0.9258,0.0242,0.0261,-0.0167,+0.0200,+0.0225,-0.0142,-0.0125,-0.0133,-0.0058,-0.0175,-0.0189
BABI,Llama-3.1-8B,0.5775,0.4225,0.7316,+0.1217,-0.1283,-0.3109,+0.2717,-0.3167,-0.6070,+0.2775,-0.3092,-0.5990
BABI,Llama-3.1-8B-Instruct,0.8633,0.1333,0.1544,+0.0308,-0.0358,-0.0454,+0.0142,-0.1108,-0.1288,+0.0250,-0.1100,-0.1282
BABI,Llama-3.1-70B,0.9208,0.0625,0.0679,-0.0158,+0.0258,+0.0297,-0.0058,-0.0525,-0.0569,+0.0008,-0.0475,-0.0516
BABI,Llama-3.1-70B-Instruct,0.9333,0.0233,0.0250,+0.0025,+0.0158,+0.0169,-0.0075,-0.0175,-0.0187,-0.0050,-0.0200,-0.0214
