metric,direction,comparison,mean_diff,t_stat,p_value,significance,n_pairs
Accuracy,higher is better,RB vs Baseline,+0.0266,+6.0770,2.53e-08,***,96
Accuracy,higher is better,BC vs Baseline,+0.0212,+5.0358,2.26e-06,***,96
Accuracy,higher is better,CC vs Baseline,-0.0560,-5.0888,1.81e-06,***,96
Accuracy,higher is better,RB vs BC,+0.0054,+8.0273,2.64e-12,***,96
Accuracy,higher is better,RB vs CC,+0.0826,+7.9875,3.20e-12,***,96
TVD,lower is better,RB vs Baseline,-0.1167,-7.6650,1.52e-11,***,96
TVD,lower is better,BC vs Baseline,-0.1178,-7.7679,9.26e-12,***,96
TVD,lower is better,CC vs Baseline,+0.0849,+4.8024,5.84e-06,***,96
TVD,lower is better,RB vs BC,+0.0011,+1.7101,0.0905,,96
TVD,lower is better,RB vs CC,-0.2016,-11.2761,3.21e-19,***,96
RSD,lower is better,RB vs Baseline,-0.1787,-6.3825,6.34e-09,***,96
RSD,lower is better,BC vs Baseline,-0.1793,-6.3908,6.10e-09,***,96
RSD,lower is better,CC vs Baseline,+0.1751,+4.8732,4.39e-06,***,96
RSD,lower is better,RB vs BC,+0.0006,+0.6183,0.5378,,96
RSD,lower is better,RB vs CC,-0.3538,-10.2391,5.10e-17,***,96
