metric,direction,comparison,mean_diff,t_stat,p_value,significance,n_pairs
Accuracy,higher is better,RB vs Baseline,+0.0256,+5.9223,5.05e-08,***,96
Accuracy,higher is better,BC vs Baseline,+0.0245,+5.7219,1.22e-07,***,96
Accuracy,higher is better,CC vs Baseline,-0.0560,-5.0888,1.81e-06,***,96
Accuracy,higher is better,RB vs BC,+0.0011,+1.7739,0.0793,,96
Accuracy,higher is better,RB vs CC,+0.0816,+7.8589,5.96e-12,***,96
TVD,lower is better,RB vs Baseline,-0.1130,-7.4914,3.50e-11,***,96
TVD,lower is better,BC vs Baseline,-0.1182,-7.7526,9.96e-12,***,96
TVD,lower is better,CC vs Baseline,+0.0849,+4.8024,5.84e-06,***,96
TVD,lower is better,RB vs BC,+0.0052,+4.6205,1.20e-05,***,96
TVD,lower is better,RB vs CC,-0.1979,-11.0661,8.91e-19,***,96
RSD,lower is better,RB vs Baseline,-0.1737,-6.2553,1.13e-08,***,96
RSD,lower is better,BC vs Baseline,-0.1796,-6.4363,4.96e-09,***,96
RSD,lower is better,CC vs Baseline,+0.1751,+4.8732,4.39e-06,***,96
RSD,lower is better,RB vs BC,+0.0060,+3.6488,0.0004,***,96
RSD,lower is better,RB vs CC,-0.3487,-10.0949,1.04e-16,***,96
