dataset,model,raw_acc,raw_tvd,raw_rsd,cc_acc,cc_tvd,cc_rsd,bc_acc,bc_tvd,bc_rsd,rb_acc,rb_tvd,rb_rsd
ARITH,Falcon3-3B-Base,0.8225,0.1758,0.2138,-0.1317,+0.1100,+0.2000,+0.0300,-0.1200,-0.1483,+0.0208,-0.1625,-0.1980
ARITH,Falcon3-3B-Instruct,0.8258,0.0308,0.0373,+0.0042,-0.0175,-0.0213,-0.0033,-0.0167,-0.0201,-0.0042,-0.0092,-0.0110
ARITH,Falcon3-10B-Base,0.8750,0.0567,0.0648,-0.0100,+0.0267,+0.0316,+0.0167,-0.0467,-0.0535,+0.0108,-0.0525,-0.0601
ARITH,Falcon3-10B-Instruct,0.8983,0.0033,0.0037,+0.0017,+0.0067,+0.0074,+0.0033,+0.0217,+0.0240,+0.0033,+0.0167,+0.0185
ARITH,Llama-3.1-8B,0.7575,0.1392,0.1837,-0.0133,+0.0517,+0.0727,+0.0425,-0.1392,-0.1837,+0.0525,-0.1042,-0.1405
ARITH,Llama-3.1-8B-Instruct,0.7733,0.1083,0.1401,-0.0983,+0.1783,+0.2846,+0.0333,-0.1000,-0.1298,+0.0350,-0.1067,-0.1380
ARITH,Llama-3.1-70B,0.8725,0.1275,0.1461,+0.0758,-0.0858,-0.1022,+0.0583,-0.0717,-0.0861,+0.0658,-0.0758,-0.0911
ARITH,Llama-3.1-70B-Instruct,0.9708,0.0042,0.0043,+0.0025,+0.0025,+0.0026,+0.0033,-0.0033,-0.0034,+0.0000,-0.0017,-0.0017
ARITH,gemma-3-27b-pt,0.8975,0.0342,0.0381,-0.0900,+0.1383,+0.1756,-0.0158,+0.0158,+0.0186,-0.0042,+0.0208,+0.0235
ARITH,gemma-3-27b-it,0.9542,0.0158,0.0166,-0.0033,+0.0033,+0.0036,+0.0000,-0.0017,-0.0017,+0.0008,-0.0008,-0.0009
ARITH,gemma-3-12b-pt,0.9058,0.0058,0.0064,-0.1250,+0.1833,+0.2358,-0.0100,-0.0017,-0.0018,-0.0133,+0.0050,+0.0057
ARITH,gemma-3-12b-it,0.8492,0.0442,0.0520,-0.0033,+0.0117,+0.0140,-0.0075,+0.0108,+0.0133,-0.0042,+0.0125,+0.0150
BABI,Falcon3-3B-Base,0.7142,0.2858,0.4002,+0.0550,-0.0583,-0.1045,+0.1350,-0.2167,-0.3188,+0.1433,-0.2417,-0.3487
BABI,Falcon3-3B-Instruct,0.8200,0.1300,0.1585,+0.0200,-0.0400,-0.0514,+0.0150,-0.0233,-0.0308,+0.0125,-0.0242,-0.0314
BABI,Falcon3-10B-Base,0.8967,0.0650,0.0725,-0.0025,+0.0142,+0.0160,-0.0008,-0.0442,-0.0492,+0.0025,-0.0542,-0.0604
BABI,Falcon3-10B-Instruct,0.9183,0.0267,0.0290,-0.0067,+0.0183,+0.0203,+0.0083,-0.0183,-0.0200,+0.0083,-0.0250,-0.0272
BABI,Llama-3.1-8B,0.8292,0.1558,0.1879,-0.1492,+0.1642,+0.2826,+0.0358,-0.1392,-0.1687,+0.0300,-0.1033,-0.1268
BABI,Llama-3.1-8B-Instruct,0.8567,0.1200,0.1401,-0.1167,+0.1400,+0.2113,+0.0158,-0.1125,-0.1315,+0.0200,-0.1050,-0.1230
BABI,Llama-3.1-70B,0.9083,0.0350,0.0385,+0.0167,+0.0117,+0.0119,+0.0150,-0.0283,-0.0313,+0.0142,-0.0258,-0.0286
BABI,Llama-3.1-70B-Instruct,0.9225,0.0192,0.0208,-0.0025,+0.0075,+0.0082,+0.0017,-0.0117,-0.0127,+0.0042,-0.0125,-0.0136
BABI,gemma-3-27b-pt,0.8133,0.1817,0.2234,+0.0900,-0.1417,-0.1791,+0.0850,-0.1583,-0.1974,+0.0900,-0.1400,-0.1772
BABI,gemma-3-27b-it,0.9300,0.0467,0.0502,-0.0008,+0.0058,+0.0063,-0.0008,-0.0025,-0.0026,+0.0017,-0.0033,-0.0037
