metric,direction,comparison,mean_diff,t_stat,p_value,significance,n_pairs
Accuracy,higher is better,RB vs Baseline,+0.0146,+3.6594,0.0004,***,120
Accuracy,higher is better,BC vs Baseline,+0.0109,+2.7227,0.0074,**,120
Accuracy,higher is better,CC vs Baseline,-0.0033,-0.6672,0.5060,,120
Accuracy,higher is better,RB vs BC,+0.0036,+5.6973,8.97e-08,***,120
Accuracy,higher is better,RB vs CC,+0.0178,+5.2082,8.10e-07,***,120
TVD,lower is better,RB vs Baseline,-0.0346,-4.9746,2.23e-06,***,120
TVD,lower is better,BC vs Baseline,-0.0381,-5.4188,3.18e-07,***,120
TVD,lower is better,CC vs Baseline,+0.0193,+1.8422,0.0679,,120
TVD,lower is better,RB vs BC,+0.0035,+5.1742,9.40e-07,***,120
TVD,lower is better,RB vs CC,-0.0538,-6.4183,2.93e-09,***,120
RSD,lower is better,RB vs Baseline,-0.0388,-3.5198,0.0006,***,120
RSD,lower is better,BC vs Baseline,-0.0431,-3.8871,0.0002,***,120
RSD,lower is better,CC vs Baseline,+0.0361,+2.3650,0.0196,*,120
RSD,lower is better,RB vs BC,+0.0043,+4.2686,3.97e-05,***,120
RSD,lower is better,RB vs CC,-0.0749,-6.3829,3.48e-09,***,120
