dataset,model,raw_acc,raw_tvd,raw_rsd,cc_acc,cc_tvd,cc_rsd,bc_acc,bc_tvd,bc_rsd,rb_acc,rb_tvd,rb_rsd
ARITH,Falcon3-3B-Base,0.8692,0.0842,0.0968,-0.0025,+0.0208,+0.0243,-0.0008,-0.0392,-0.0450,-0.0008,-0.0392,-0.0450
ARITH,Falcon3-3B-Instruct,0.8725,0.0908,0.1041,-0.0225,+0.0542,+0.0665,+0.0042,+0.0075,+0.0081,+0.0033,-0.0017,-0.0023
ARITH,Falcon3-10B-Base,0.8808,0.0675,0.0766,+0.0192,-0.0342,-0.0396,+0.0283,-0.0300,-0.0354,+0.0192,-0.0458,-0.0526
ARITH,Falcon3-10B-Instruct,0.9208,0.0542,0.0588,-0.0167,+0.0267,+0.0306,-0.0158,+0.0275,+0.0314,-0.0167,+0.0267,+0.0306
ARITH,Llama-3.1-8B,0.7325,0.2142,0.2924,+0.1200,-0.1817,-0.2543,+0.1308,-0.1075,-0.1688,+0.1392,-0.1125,-0.1757
ARITH,Llama-3.1-8B-Instruct,0.7883,0.1583,0.2008,+0.0308,-0.0542,-0.0737,+0.0467,-0.0883,-0.1170,+0.0533,-0.0900,-0.1197
ARITH,Llama-3.1-70B,0.9783,0.0050,0.0051,+0.0008,-0.0042,-0.0043,-0.0017,+0.0067,+0.0068,+0.0000,+0.0000,+0.0000
ARITH,Llama-3.1-70B-Instruct,0.9958,0.0025,0.0025,-0.0008,+0.0008,+0.0008,-0.0033,+0.0000,+0.0000,-0.0008,-0.0008,-0.0008
ARITH,gemma-3-27b-pt,0.9917,0.0050,0.0050,-0.0042,+0.0042,+0.0042,-0.0025,-0.0008,-0.0008,-0.0017,+0.0017,+0.0017
ARITH,gemma-3-27b-it,0.9833,0.0133,0.0136,-0.0017,+0.0033,+0.0034,+0.0025,-0.0008,-0.0009,+0.0025,-0.0025,-0.0026
ARITH,gemma-3-12b-pt,0.9133,0.0567,0.0620,+0.0000,+0.0000,+0.0000,+0.0108,-0.0342,-0.0377,+0.0183,-0.0483,-0.0531
ARITH,gemma-3-12b-it,0.9350,0.0233,0.0250,+0.0025,-0.0042,-0.0045,+0.0042,-0.0092,-0.0099,+0.0050,-0.0083,-0.0090
BABI,Falcon3-3B-Base,0.8683,0.0667,0.0768,+0.0000,+0.0000,+0.0000,+0.0042,-0.0275,-0.0319,+0.0133,-0.0517,-0.0598
BABI,Falcon3-3B-Instruct,0.8425,0.0625,0.0742,-0.0075,-0.0558,-0.0662,-0.0033,-0.0350,-0.0414,-0.0033,-0.0400,-0.0474
BABI,Falcon3-10B-Base,0.8808,0.1092,0.1239,+0.0367,-0.0450,-0.0540,+0.0308,-0.0958,-0.1093,+0.0325,-0.0958,-0.1093
BABI,Falcon3-10B-Instruct,0.9258,0.0242,0.0261,-0.0167,+0.0200,+0.0225,-0.0067,-0.0117,-0.0125,-0.0067,-0.0200,-0.0216
BABI,Llama-3.1-8B,0.5775,0.4225,0.7316,+0.1217,-0.1283,-0.3109,+0.2808,-0.3292,-0.6229,+0.2508,-0.2792,-0.5586
BABI,Llama-3.1-8B-Instruct,0.8633,0.1333,0.1544,+0.0308,-0.0358,-0.0454,+0.0192,-0.1092,-0.1271,+0.0200,-0.1017,-0.1186
BABI,Llama-3.1-70B,0.9208,0.0625,0.0679,-0.0158,+0.0258,+0.0297,-0.0017,-0.0567,-0.0615,+0.0017,-0.0483,-0.0525
BABI,Llama-3.1-70B-Instruct,0.9333,0.0233,0.0250,+0.0025,+0.0158,+0.0169,-0.0083,-0.0200,-0.0214,-0.0058,-0.0192,-0.0205
BABI,gemma-3-27b-pt,0.9217,0.0300,0.0325,+0.0042,+0.0125,+0.0134,+0.0000,+0.0000,+0.0000,-0.0017,-0.0017,-0.0018
BABI,gemma-3-27b-it,0.9192,0.0758,0.0825,+0.0017,-0.0083,-0.0092,+0.0033,-0.0067,-0.0075,+0.0017,-0.0050,-0.0056
BABI,gemma-3-12b-pt,0.9283,0.0517,0.0557,-0.0017,-0.0033,-0.0035,+0.0000,-0.0250,-0.0269,+0.0033,-0.0350,-0.0378
BABI,gemma-3-12b-it,0.9050,0.0850,0.0939,+0.0092,-0.0108,-0.0128,+0.0100,-0.0150,-0.0174,+0.0108,-0.0125,-0.0148
COMPS,Falcon3-3B-Base,0.8158,0.0408,0.0501,+0.0000,+0.0000,+0.0000,+0.0067,+0.0100,+0.0118,+0.0092,-0.0042,-0.0056
COMPS,Falcon3-3B-Instruct,0.8075,0.0275,0.0341,-0.0983,+0.2033,+0.2914,-0.0058,-0.0092,-0.0112,-0.0025,+0.0125,+0.0156
COMPS,Falcon3-10B-Base,0.8775,0.0208,0.0237,-0.0133,+0.0533,+0.0621,-0.0050,+0.0000,+0.0001,-0.0025,-0.0058,-0.0066
COMPS,Falcon3-10B-Instruct,0.8450,0.0167,0.0197,-0.0133,+0.0633,+0.0765,-0.0017,+0.0133,+0.0158,-0.0033,+0.0083,+0.0100
COMPS,Llama-3.1-8B,0.7850,0.1950,0.2484,+0.0658,-0.1008,-0.1377,+0.0808,-0.1775,-0.2282,+0.0717,-0.1817,-0.2328
COMPS,Llama-3.1-8B-Instruct,0.8575,0.0425,0.0496,-0.0042,-0.0142,-0.0164,+0.0083,-0.0233,-0.0274,-0.0042,-0.0008,-0.0007
COMPS,Llama-3.1-70B,0.9050,0.0133,0.0147,+0.0033,-0.0083,-0.0092,+0.0017,-0.0017,-0.0019,+0.0008,-0.0058,-0.0065
COMPS,Llama-3.1-70B-Instruct,0.8892,0.0108,0.0122,-0.0025,+0.0308,+0.0348,+0.0017,+0.0150,+0.0168,-0.0033,+0.0133,+0.0151
COMPS,gemma-3-27b-pt,0.8783,0.0500,0.0569,+0.0000,+0.0000,+0.0000,+0.0192,-0.0392,-0.0449,+0.0233,-0.0400,-0.0458
COMPS,gemma-3-27b-it,0.8675,0.1008,0.1162,-0.0075,+0.0125,+0.0155,+0.0192,-0.0475,-0.0561,+0.0158,-0.0408,-0.0483
COMPS,gemma-3-12b-pt,0.8967,0.0067,0.0074,-0.0050,+0.0000,+0.0000,-0.0042,+0.0075,+0.0084,-0.0033,+0.0000,+0.0000
COMPS,gemma-3-12b-it,0.8850,0.0367,0.0414,-0.0092,+0.0192,+0.0223,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000
EWOK,Falcon3-3B-Base,0.6717,0.1267,0.1886,+0.0000,+0.0000,+0.0000,+0.0175,-0.0908,-0.1366,+0.0183,-0.1250,-0.1862
EWOK,Falcon3-3B-Instruct,0.7042,0.0492,0.0698,-0.0058,+0.0308,+0.0447,-0.0058,-0.0475,-0.0674,+0.0050,-0.0367,-0.0522
EWOK,Falcon3-10B-Base,0.7758,0.1158,0.1493,+0.0067,-0.0850,-0.1099,+0.0017,-0.1083,-0.1397,-0.0008,-0.0908,-0.1170
EWOK,Falcon3-10B-Instruct,0.7917,0.0283,0.0358,+0.0075,-0.0008,-0.0014,+0.0083,-0.0283,-0.0358,+0.0067,-0.0167,-0.0212
EWOK,Llama-3.1-8B,0.6750,0.2967,0.4395,+0.0467,-0.2750,-0.4095,+0.0308,-0.1975,-0.2990,+0.0375,-0.1808,-0.2769
EWOK,Llama-3.1-8B-Instruct,0.7542,0.1275,0.1691,-0.0017,-0.1117,-0.1480,-0.0233,-0.0250,-0.0288,-0.0225,+0.0142,+0.0246
EWOK,Llama-3.1-70B,0.8642,0.0525,0.0608,-0.0033,+0.0283,+0.0331,+0.0083,-0.0433,-0.0502,+0.0167,-0.0517,-0.0598
EWOK,Llama-3.1-70B-Instruct,0.8767,0.0483,0.0551,+0.0017,-0.0083,-0.0096,+0.0008,-0.0425,-0.0485,-0.0025,-0.0408,-0.0466
EWOK,gemma-3-27b-pt,0.7908,0.0125,0.0158,-0.0033,+0.0217,+0.0276,-0.0058,+0.0125,+0.0160,+0.0017,-0.0017,-0.0021
EWOK,gemma-3-27b-it,0.8083,0.0617,0.0763,+0.0000,-0.0117,-0.0144,-0.0008,-0.0242,-0.0298,+0.0025,-0.0158,-0.0198
