Dataset,Model,Baseline_Acc,Baseline_Bias,CC_Acc,CC_Bias,BC_Acc,BC_Bias,Ours_Acc,Ours_Bias
ARITH,Falcon3-3B-Base,87.58333333333333,0.06916666666666668,86.58333333333333,0.09916666666666665,87.58333333333333,0.07083333333333333,85.58333333333333,0.013333333333333308
ARITH,Falcon3-3B-Instruct,87.41666666666667,0.08583333333333332,83.83333333333334,0.15000000000000002,87.41666666666667,0.08583333333333332,87.16666666666667,0.010000000000000009
ARITH,Falcon3-10B-Base,87.16666666666667,0.07666666666666666,90.16666666666666,0.025000000000000022,90.75,0.04249999999999998,89.75,0.008539709649871857
ARITH,Falcon3-10B-Instruct,92.08333333333333,0.05416666666666667,90.66666666666666,0.07499999999999998,90.83333333333333,0.07666666666666666,92.41666666666667,0.006666666666666682
ARITH,gemma-3-12b-pt,91.75,0.050833333333333314,91.75,0.050833333333333314,93.16666666666666,0.026666666666666644,92.66666666666666,0.009166666666666656
ARITH,gemma-3-12b-it,93.41666666666667,0.025833333333333347,93.58333333333333,0.019166666666666665,94.16666666666667,0.011666666666666686,94.41666666666667,0.004166666666666652
ARITH,gemma-3-27b-pt,99.58333333333333,0.004166666666666652,99.91666666666667,0.0008333333333333526,99.58333333333333,0.004166666666666652,99.7489539748954,0.0008333333333333526
ARITH,gemma-3-27b-it,99.66666666666667,0.0016666666666666774,99.41666666666666,0.004166666666666652,99.66666666666667,0.0016666666666666774,99.5,0.0016666666666666774
ARITH,Llama-3.1-8B,74.16666666666667,0.20333333333333334,86.0,0.02166666666666664,86.25,0.11750000000000002,86.58333333333333,0.009166666666666656
ARITH,Llama-3.1-8B-Instruct,78.75,0.15916666666666668,81.91666666666667,0.10083333333333333,83.91666666666666,0.06916666666666668,84.58333333333333,0.008340283569641366
ARITH,Llama-3.1-70B,98.08333333333333,0.005833333333333357,98.08333333333333,0.009166666666666656,98.08333333333333,0.004166666666666652,97.75,0.005020920502092047
ARITH,Llama-3.1-70B-Instruct,99.66666666666667,0.0016666666666666774,99.58333333333333,0.0008333333333333526,99.66666666666667,0.0016666666666666774,99.41666666666666,0.0016666666666666774
BABI,Falcon3-3B-Base,86.58333333333333,0.07416666666666669,87.91666666666667,0.04583333333333331,87.5,0.05500000000000002,87.91666666666667,0.007499999999999979
BABI,Falcon3-3B-Instruct,84.08333333333333,0.0625,83.91666666666666,0.009166666666666656,83.91666666666666,0.029166666666666674,83.41666666666666,0.011666666666666686
BABI,Falcon3-10B-Base,88.16666666666667,0.10833333333333331,91.75,0.06416666666666668,91.5,0.018333333333333313,89.85899142265602,0.010000000000000009
BABI,Falcon3-10B-Instruct,92.33333333333333,0.02166666666666664,91.08333333333334,0.04583333333333331,91.58333333333334,0.004166666666666652,91.91666666666667,0.010000000000000009
BABI,gemma-3-12b-pt,92.66666666666666,0.053333333333333344,92.58333333333333,0.04916666666666669,93.25,0.03083333333333335,92.08333333333333,0.00708333333333333
BABI,gemma-3-12b-it,90.75,0.08416666666666664,91.16666666666666,0.07666666666666666,91.66666666666666,0.07166666666666666,91.5,0.006669446761189898
BABI,gemma-3-27b-pt,91.58333333333334,0.06416666666666668,91.41666666666667,0.07750000000000001,92.08333333333333,0.029166666666666674,91.0,0.010000000000000009
BABI,gemma-3-27b-it,92.58333333333333,0.06583333333333333,92.83333333333333,0.060000000000000026,93.0,0.05833333333333335,91.33333333333333,0.00800953600910903
BABI,Llama-3.1-8B,59.0,0.41000000000000003,70.83333333333334,0.2866666666666666,85.5,0.10333333333333336,87.91666666666667,0.008749999999999994
BABI,Llama-3.1-8B-Instruct,86.58333333333333,0.13083333333333336,89.41666666666667,0.09083333333333332,88.66666666666667,0.01666666666666669,88.66666666666667,0.010416666666666671
BABI,Llama-3.1-70B,91.75,0.057499999999999996,90.25,0.08916666666666664,91.25,0.01416666666666666,91.625,0.007499999999999979
BABI,Llama-3.1-70B-Instruct,93.58333333333333,0.03749999999999998,93.58333333333333,0.04083333333333336,92.66666666666666,0.015000000000000013,92.12499999999999,0.006666666666666682
COMPS,Falcon3-3B-Base,83.57142857142857,0.029047619047619072,83.0952380952381,0.043333333333333335,83.0952380952381,0.045238095238095216,83.61904761904762,0.011904761904761946
COMPS,Falcon3-3B-Instruct,80.66666666666666,0.023809523809523808,72.14285714285714,0.2204761904761905,80.9047619047619,0.004285714285714309,80.71428571428572,0.011904761904761946
COMPS,Falcon3-10B-Base,88.47619047619048,0.011428571428571399,86.47619047619047,0.08190476190476192,88.23809523809524,0.029047619047619072,88.23809523809524,0.009047619047618999
COMPS,Falcon3-10B-Instruct,85.38095238095238,0.023333333333333373,84.19047619047619,0.08000000000000004,85.28571428571429,0.03380952380952382,85.57142857142857,0.0104761904761905
COMPS,gemma-3-12b-pt,89.28571428571429,0.005238095238095208,88.76190476190476,0.008571428571428619,89.28571428571429,0.012857142857142817,88.66666666666667,0.008571428571428563
COMPS,gemma-3-12b-it,88.28571428571429,0.03333333333333338,87.61904761904762,0.05238095238095239,88.19047619047619,0.034285714285714336,88.47619047619048,0.009047619047619054
COMPS,gemma-3-27b-pt,89.71428571428571,0.029523809523809563,89.71428571428571,0.029523809523809563,90.14285714285715,0.009047619047619054,90.2696365767878,0.007619047619047636
COMPS,gemma-3-27b-it,88.09523809523809,0.06476190476190477,87.76190476190476,0.07666666666666672,88.57142857142857,0.054285714285714326,88.95238095238095,0.007619047619047581
COMPS,Llama-3.1-8B,79.04761904761905,0.1847619047619047,85.90476190476191,0.08666666666666667,87.57142857142857,0.01190476190476189,87.04761904761905,0.010952380952380936
COMPS,Llama-3.1-8B-Instruct,86.28571428571429,0.03619047619047616,86.19047619047619,0.019999999999999962,86.28571428571429,0.03333333333333338,86.28571428571429,0.010952380952380936
COMPS,Llama-3.1-70B,90.71428571428571,0.01666666666666669,91.0,0.008095238095238128,90.52380952380953,0.019523809523809554,90.66666666666666,0.006190476190476191
